,G,Length
3033,gullied,7
3034,gullying,8
3035,gulosity,8
3036,gulped,6
3037,gulping,7
3038,gulp,4
3039,gulph,5
3040,gult,4
3041,gulty,5
3042,guly,4
3043,gum,3
3044,gummed,6
3045,gumming,7
3046,gumbo,5
3047,gumboil,7
3048,gummata,7
3049,gumma,5
3050,gummatous,9
3051,gummer,6
3052,gummiferous,11
3053,gumminess,9
3054,gummite,7
3055,gummosity,9
3056,gummous,7
3057,gummy,5
3058,gump,4
3059,gumption,8
3060,guna,4
3061,gunarchy,8
3062,gunboat,7
3063,guncotton,9
3064,gundelet,8
3065,gunflint,8
3066,gunjah,6
3067,gunlock,7
3068,gunnage,7
3069,gunnel,6
3070,gunner,6
3071,gunnery,7
3072,gunnie,6
3073,gunning,7
3074,gunny,5
3075,gunocracy,9
3076,gunpowder,9
3077,gunreach,8
3078,gunroom,7
3079,gunshot,7
3080,gunsmith,8
3081,gunsmithery,11
3082,gunstick,8
3083,gunstock,8
3084,gunstome,8
3085,gunwale,7
3086,gurge,5
3087,gurgled,7
3088,gurgling,8
3089,gurgle,6
3090,gurglet,7
3091,gurgoyle,8
3092,gurjun,6
3093,gurl,4
3094,gurlet,6
3095,gurmy,5
3096,gurnard,7
3097,gurnet,6
3098,gurniad,7
3099,gurry,5
3100,gurt,4
3101,gurts,5
3102,gushed,6
3103,gushing,7
3104,gush,4
3105,gusher,6
3106,gushingly,9
3107,gusset,6
3108,gust,4
3109,gustable,8
3110,gustard,7
3111,gustation,9
3112,gustatory,9
3113,gustful,7
3114,gustless,8
3115,gusto,5
3116,gustoso,7
3117,gusty,5
3118,gut,3
3119,gutted,6
3120,gutting,7
3121,guttae,6
3122,gutta,5
3123,guttate,7
3124,guttated,8
3125,guttatrap,9
3126,gutter,6
3127,guttered,8
3128,guttering,9
3129,guttifer,8
3130,guttiferous,11
3131,guttiform,9
3132,guttle,6
3133,guttler,7
3134,guttulous,9
3135,guttural,8
3136,gutturalism,11
3137,gutturality,11
3138,gutturalize,11
3139,gutturally,10
3140,gutturalness,12
3141,gutturine,9
3142,gutturize,9
3143,gutty,5
3144,gutwort,7
3145,guy,3
3146,guyed,5
3147,guying,6
3148,guyle,5
3149,guze,4
3150,guzzled,7
3151,guzzling,8
3152,guzzle,6
3153,guzzler,7
3154,gwiniad,7
3155,gyall,5
3156,gyb,3
3157,gybe,4
3158,gybed,5
3159,gybing,6
3160,gye,3
3161,gyle,4
3162,gymnal,6
3163,gymnasiarch,11
3164,gymnasiums,10
3165,gymnasia,8
3166,gymnasium,9
3167,gymnast,7
3168,gymnastic,9
3169,gymnastical,11
3170,gymnastically,13
3171,gymnastics,10
3172,gymnic,6
3173,gymnical,8
3174,gymnite,7
3175,gymnoblastea,12
3176,gymnoblastic,12
3177,gymnocarpous,12
3178,gymnochroa,10
3179,gymnocladus,11
3180,gymnocopa,9
3181,gymnocyte,9
3182,gymnocytode,11
3183,gymnodont,9
3184,gymnogen,8
3185,gymnoglossa,11
3186,gymnolaema,10
3187,gymnolaemata,12
3188,gymnonoti,9
3189,gymnopaedic,11
3190,gymnophiona,11
3191,gymnophthalmata,15
3192,gymnoplast,10
3193,gymnorhinal,11
3194,gymnosomata,11
3195,gymnosophist,12
3196,gymnosophy,10
3197,gymnosperm,10
3198,gymnospermous,13
3199,gymnotoka,9
3200,gymnotus,8
3201,gyn,3
3202,gynaeceum,9
3203,gynaecium,9
3204,gynaecian,9
3205,gynaecophore,12
3206,gynander,8
3207,gynandria,9
3208,gynandrian,10
3209,gynandrous,10
3210,gynandromorph,13
3211,gynandromorphism,16
3212,gynandromorphous,16
3213,gynantherous,12
3214,gynarchy,8
3215,gyneceum,8
3216,gynecian,8
3217,gynecocracy,11
3218,gynecological,13
3219,gynecology,10
3220,gyneocracy,10
3221,gyneolatry,10
3222,gynephobia,10
3223,gynno,5
3224,gynobase,8
3225,gynobasic,9
3226,gynocracy,9
3227,gynodioecious,13
3228,gynoecium,9
3229,gynophore,9
3230,gyp,3
3231,gypse,5
3232,gypseous,8
3233,gypsey,6
3234,gypsiferous,11
3235,gypsography,11
3236,gypsoplast,10
3237,gypsum,6
3238,gypsies,7
3239,gypsy,5
3240,gypsyism,8
3241,gypsywort,9
3242,gyracanthus,11
3243,gyral,5
3244,gyrant,6
3245,gyrate,6
3246,gyrated,7
3247,gyrating,8
3248,gyration,8
3249,gyratory,8
3250,gyre,4
3251,gyreful,7
3252,gyrencephala,12
3253,gyrfalcon,9
3254,gyri,4
3255,gyrland,7
3256,gyrodus,7
3257,gyrogonite,10
3258,gyroidal,8
3259,gyrolepis,9
3260,gyroma,6
3261,gyromancy,9
3262,gyron,5
3263,gyronny,7
3264,gyropigeon,10
3265,gyroscope,9
3266,gyroscopic,10
3267,gyrostat,8
3268,gyrostatic,10
3269,gyrostatics,11
3270,gyrus,5
3271,gyse,4
3272,gyte,4
3273,gyve,4
