,E,Length
2978,epitrite,8
2979,epitrochlea,11
2980,epitrochlear,12
2981,epitrochoid,11
2982,epitrope,8
2983,epizeuxis,9
2984,epozoan,7
2985,epozoic,7
2986,epizoa,6
2987,epizoon,7
2988,epizootic,9
2989,epizooty,8
2990,epoch,5
2991,epocha,6
2992,epochal,7
2993,epode,5
2994,epodic,6
2995,eponym,6
2996,eponyme,7
2997,eponymic,8
2998,eponymist,9
2999,eponymous,9
3000,eponymy,7
3001,epoophoron,10
3002,epopee,6
3003,epopoeia,8
3004,epopt,5
3005,epos,4
3006,epotation,9
3007,eprouvette,10
3008,epsomite,8
3009,salt,4
3010,epulary,7
3011,epulation,9
3012,epulis,6
3013,epulose,7
3014,epulosity,9
3015,epulotic,8
3016,epuration,9
3017,epure,5
3018,equability,10
3019,equable,7
3020,equableness,11
3021,equably,7
3022,equal,5
3023,equaled,7
3024,equalled,8
3025,equaling,8
3026,equalling,9
3027,equalitarian,12
3028,equalities,10
3029,equality,8
3030,equalization,12
3031,equalized,9
3032,equalizing,10
3033,equalize,8
3034,equalizer,9
3035,equally,7
3036,equalness,9
3037,equangular,10
3038,equanimity,10
3039,equanimous,10
3040,equant,6
3041,equated,7
3042,equating,8
3043,equate,6
3044,equation,8
3045,equator,7
3046,equatorial,10
3047,equatorially,12
3048,equerries,9
3049,equerry,7
3050,equery,6
3051,equestrian,10
3052,equestrianism,13
3053,equestrienne,12
3054,equiangled,10
3055,equiangular,11
3056,equibalance,11
3057,equibalanced,12
3058,equibalancing,13
3059,equicrescent,12
3060,equicrural,10
3061,equicrure,9
3062,equidifferent,13
3063,equidistance,12
3064,equidistant,11
3065,equidiurnal,11
3066,equiform,8
3067,equilateral,11
3068,equilibrated,12
3069,equilibrating,13
3070,equilibrate,11
3071,equilibration,13
3072,equilibrious,12
3073,equilibrist,11
3074,equilibrity,11
3075,equilibriums,12
3076,equilibria,10
3077,equilibrium,11
3078,equimomental,12
3079,equimultiple,12
3080,equinal,7
3081,equine,6
3082,equinia,7
3083,equinoctial,11
3084,equinoctially,13
3085,equinox,7
3086,equinumerant,12
3087,equipped,8
3088,equipping,9
3089,equip,5
3090,equipage,8
3091,equipaged,9
3092,equiparable,11
3093,equiparate,10
3094,equipedal,9
3095,equipendency,12
3096,equipensate,11
3097,equipment,9
3098,equipoise,9
3099,equipollence,12
3100,equipollency,12
3101,equipollent,11
3102,equipollently,13
3103,equiponderance,14
3104,equiponderancy,14
3105,equiponderant,13
3106,equiponderate,13
3107,equiponderous,13
3108,equipondious,12
3109,equipotential,13
3110,equiradical,11
3111,equirotal,9
3112,equisetaceous,13
3113,equisetiform,12
3114,equiseta,8
3115,equisetum,9
3116,equisonance,11
3117,equisonant,10
3118,equitable,9
3119,equitableness,13
3120,equitably,9
3121,equitancy,9
3122,equitant,8
3123,equitation,10
3124,equitemporaneous,16
3125,equites,7
3126,equities,8
3127,equity,6
3128,equivalence,11
3129,equivalency,11
3130,equivalent,10
3131,equivalently,12
3132,equivalue,9
3133,equivalve,9
3134,equivalved,10
3135,equivalvular,12
3136,equivocacy,10
3137,equivocal,9
3138,equivocally,11
3139,equivocalness,13
3140,equivocated,11
3141,equivocating,12
3142,equivocate,10
3143,equivocation,12
3144,equivocator,11
3145,equivocatory,12
3146,equivoque,9
3147,equivoke,8
3148,equivorous,10
3149,equus,5
3150,eras,4
3151,era,3
3152,eradiated,9
3153,eradiating,10
3154,eradiate,8
3155,eradiation,10
3156,eradicable,10
3157,eradicated,10
3158,eradicating,11
3159,eradicate,9
3160,eradication,11
3161,eradicative,11
3162,erasable,8
3163,erased,6
3164,erasing,7
3165,erase,5
3166,erasement,9
3167,eraser,6
3168,erasion,7
3169,erastian,8
3170,erastianism,11
3171,erasure,7
3172,erative,7
3173,erato,5
3174,erbium,6
3175,ercedeken,9
3176,erd,3
3177,ere,3
3178,erebus,6
3179,erect,5
3180,erected,7
3181,erecting,8
3182,erectable,9
3183,erecter,7
3184,erectile,8
3185,erectility,10
3186,erection,8
3187,erective,8
3188,erectly,7
3189,erectness,9
3190,erector,7
3191,erelong,7
3192,eremacausis,11
3193,eremitage,9
3194,eremite,7
3195,eremitic,8
3196,eremitical,10
3197,eremitish,9
3198,eremitism,9
3199,eretation,9
3200,ereption,8
3201,erethism,8
3202,erethistic,10
3203,erewhile,8
3204,erewhiles,9
3205,erven,5
3206,erf,3
3207,erg,3
3208,ergat,5
3209,ergo,4
3210,ergot,5
3211,ergotic,7
3212,ergotin,7
3213,ergotine,8
3214,ergotism,8
3215,ergotized,9
3216,eriach,6
3217,eric,4
3218,erica,5
3219,ericaceous,10
3220,ericinol,8
3221,ericius,7
3222,ericolin,8
3223,eridanus,8
3224,erigible,8
3225,erin,4
3226,erinaceous,10
3227,eringo,6
3228,erinite,7
3229,erinyes,7
3230,erinys,6
3231,eriometer,9
3232,eristalis,9
3233,eristic,7
3234,eristical,9
3235,erke,4
3236,erlking,7
3237,erme,4
3238,ermelin,7
3239,ermilin,7
3240,ermin,5
3241,ermine,6
3242,ermined,7
3243,ermines,7
3244,erminois,8
3245,ermit,5
3246,ern,3
3247,erne,4
3248,ernest,6
3249,ernestful,9
3250,eroded,6
3251,eroding,7
3252,erode,5
3253,erodent,7
3254,erogated,8
3255,erogating,9
3256,erogate,7
3257,erogation,9
3258,eros,4
3259,erose,5
3260,erosion,7
3261,erosive,7
3262,erostrate,9
3263,eroteme,7
3264,erotesis,8
3265,erotic,6
3266,erotical,8
3267,eroticism,9
3268,erpetologist,12
3269,erpetology,10
3270,erred,5
3271,erring,6
3272,err,3
3273,errable,7
3274,errableness,11
3275,errabund,8
3276,errancy,7
3277,errand,6
3278,errant,6
3279,errantia,8
3280,errantry,8
3281,errata,6
3282,erratic,7
3283,erratical,9
3284,erration,8
3285,erratum,7
3286,erthine,7
3287,erroneous,9
3288,error,5
3289,errorful,8
3290,errorist,8
3291,ers,3
3292,erse,4
3293,ersh,4
3294,erst,4
3295,erstwhile,9
3296,erubescence,11
3297,erubescency,11
3298,erubescent,10
3299,erubescite,10
3300,erucae,6
3301,eruca,5
3302,erucic,6
3303,erucifrom,9
3304,eruct,5
3305,eructate,8
3306,eructation,10
3307,erudiate,8
3308,erudite,7
3309,erudition,9
3310,erugate,7
3311,eruginous,9
3312,erumpent,8
3313,erupt,5
3314,eruption,8
3315,eruptional,10
3316,eruptive,8
3317,eryngium,8
3318,eryngo,6
3319,erysipelas,10
3320,erysipelatoid,13
3321,erysipelatous,13
3322,erysipelous,11
3323,erythema,8
3324,erythematic,11
3325,erythematous,12
3326,erythrean,9
3327,erythraean,10
3328,erythric,8
3329,erythrin,8
3330,erythrine,9
3331,erythrina,9
3332,erythrism,9
3333,erythrite,9
3334,erythrochroic,13
3335,erythrochroism,14
3336,erythrodextrin,14
3337,erythrogen,10
3338,erythrogranulose,16
3339,erythroid,9
3340,erythroleic,11
3341,erythrolein,11
3342,erythrolitmin,13
3343,erythronium,11
3344,erythrophleine,14
3345,erythrophyll,12
3346,erythrophyllin,14
3347,erythrosin,10
3348,erythroxylon,12
3349,erythrozyme,11
3350,escalade,8
3351,escaladed,9
3352,escalading,10
3353,escallop,8
3354,escalloped,10
3355,escalop,7
3356,escaloped,9
3357,escambio,8
3358,escapable,9
3359,escapade,8
3360,escaped,7
3361,escaping,8
3362,escape,6
3363,escapement,10
3364,escaper,7
3365,escarbuncle,11
3366,escargatoire,12
3367,escarp,6
3368,escarped,8
3369,escarping,9
3370,escarpment,10
3371,eschalot,8
3372,eschar,6
3373,eschara,7
3374,escharine,9
3375,escharotic,10
3376,eschatological,14
3377,eschatology,11
3378,eschaunge,9
3379,escheat,7
3380,esheated,8
3381,escheating,10
3382,escheatable,11
3383,escheatage,10
3384,escheator,9
3385,eschevin,8
3386,eshewed,7
3387,eshewing,8
3388,eschew,6
3389,eschewer,8
3390,eschewment,10
3391,eschscholtzia,13
3392,eschynite,9
3393,escocheon,9
3394,escopet,7
3395,escopette,9
3396,escorial,8
3397,escort,6
3398,escorted,8
3399,escorting,9
3400,escot,5
3401,escouade,8
3402,escout,6
3403,escribed,8
3404,escript,7
3405,escritoire,10
3406,escritorial,11
3407,escrod,6
3408,escrol,6
3409,escroll,7
3410,escrow,6
3411,escuage,7
3412,esculapian,10
3413,esculapius,10
3414,esculent,8
3415,esculic,7
3416,esculin,7
3417,escurial,8
3418,escutcheon,10
3419,escutcheoned,12
3420,ese,3
3421,esemplastic,11
3422,eserine,7
3423,esexual,7
3424,esguard,7
3425,eskar,5
3426,esker,5
3427,eskimos,7
3428,eskimo,6
3429,esloin,6
3430,esnecy,6
3431,esodic,6
3432,esophagal,9
3433,esophageal,10
3434,esophagean,10
3435,esophagotomy,12
3436,esophagus,9
3437,esopian,7
3438,esopic,6
3439,esoteric,8
3440,esoterical,10
3441,esoterically,12
3442,esotericism,11
3443,esoterics,9
3444,esotery,7
3445,esox,4
3446,espace,6
3447,espadon,7
3448,espalier,8
3449,espaliered,10
3450,espaliering,11
3451,esparcet,8
3452,esparto,7
3453,espauliere,10
3454,especial,8
3455,especially,10
3456,especialness,12
3457,esperance,9
3458,espiaille,9
3459,espial,6
3460,espier,6
3461,espinel,7
3462,espionage,9
3463,esplanade,9
3464,esplees,7
3465,espousage,9
3466,espousal,8
3467,espoused,8
3468,espousing,9
3469,espouse,7
3470,espousement,11
3471,espouser,8
3472,espressivo,10
3473,espringal,9
3474,esprit,6
3475,espied,6
3476,espying,7
3477,espy,4
3478,espies,6
3479,esquimaux,9
3480,esquimau,8
3481,esquire,7
3482,esquired,8
3483,esquiring,9
3484,esquisse,8
3485,essays,6
3486,essay,5
3487,essayed,7
3488,essaying,8
3489,essayer,7
3490,essayist,8
3491,essence,7
3492,essenced,8
3493,essencing,9
3494,essenes,7
3495,essene,6
3496,essenism,8
3497,essential,9
3498,esential,8
3499,essentiality,12
3500,esentially,10
3501,esentialness,12
3502,essentiated,11
3503,essentiating,12
3504,essentiate,10
3505,essoin,6
3506,essoign,7
3507,essoiner,8
3508,essonite,8
3509,essorant,8
3510,est,3
3511,established,11
3512,establishing,12
3513,establish,9
3514,establisher,11
3515,establishment,13
3516,establishmentarian,18
3517,estacade,8
3518,estafet,7
3519,estafette,9
3520,estancia,8
3521,estate,6
3522,estatlich,9
3523,estatly,7
3524,esteemed,8
3525,esteeming,9
3526,esteem,6
3527,esteemable,10
3528,esteemer,8
3529,ester,5
3530,esthesiometer,13
3531,esthete,7
3532,esthetic,8
3533,esthetical,10
3534,esthetics,9
3535,estiferous,10
3536,estimable,9
3537,estimableness,13
3538,estimably,9
3539,estimated,9
3540,estimating,10
3541,estimate,8
3542,estimation,10
3543,estimative,10
3544,estimator,9
3545,estival,7
3546,estivate,8
3547,estivation,10
3548,estoile,7
3549,estophed,8
3550,estopping,9
3551,estop,5
3552,estoppel,8
3553,estovers,8
3554,estrade,7
3555,estramacon,10
3556,estranged,9
3557,estranging,10
3558,estrange,8
3559,estrangedness,13
3560,estrangement,12
3561,estranger,9
3562,estrangle,9
3563,estrapade,9
3564,estray,6
3565,estre,5
3566,estreat,7
3567,estreated,9
3568,estreating,10
3569,estrepe,7
3570,estrepement,11
3571,estrich,7
3572,estuance,8
3573,estuarine,9
3574,estuaries,9
3575,estuary,7
3576,estuated,8
3577,estuating,9
3578,estuate,7
3579,estuation,9
3580,estufas,7
3581,estufa,6
3582,esture,6
3583,esurient,8
3584,esurine,7
3585,etaac,5
3586,etacism,7
3587,etacist,7
3588,etagere,7
3589,etch,4
3590,etched,6
3591,etching,7
3592,etcher,6
3593,eteostic,8
3594,eterminable,11
3595,etern,5
3596,eterne,6
3597,eternal,7
3598,eternalist,10
3599,eternalize,10
3600,eternally,9
3601,eternify,8
3602,eternities,10
3603,eternity,8
3604,eternization,12
3605,eternized,9
3606,eterniziing,11
3607,eternize,8
3608,etesian,7
3609,ethal,5
3610,ethane,6
3611,ethe,4
3612,ethel,5
3613,ethene,6
3614,ethenic,7
3615,ethenyl,7
3616,etheostomoid,12
3617,ether,5
3618,ethereal,8
3619,etherealism,11
3620,ethereality,11
3621,etherealization,15
3622,etherealize,11
3623,ethereally,10
3624,etherealness,12
3625,ethereous,9
3626,etherification,14
3627,etheriform,10
3628,etherin,7
3629,etherization,12
3630,etherized,9
3631,etherizing,10
3632,etherize,8
3633,etherol,7
3634,ethic,5
3635,ethical,7
3636,ethically,9
3637,ethicist,8
3638,ethics,6
3639,ethide,6
3640,ethidene,8
3641,ethine,6
3642,ethionic,8
3643,ethiop,6
3644,ethiopian,9
3645,ethiopic,8
3646,ethiops,7
3647,ethmoid,7
3648,ethmoidal,9
3649,ethmotrubinal,13
3650,ethmovomerine,13
3651,ethnarch,8
3652,ethnarchy,9
3653,ethnic,6
3654,ethnical,8
3655,ethnically,10
3656,ethnicism,9
3657,ethnographer,12
3658,ethnographic,12
3659,ethnographical,14
3660,ethnographically,16
3661,ethnography,11
3662,ethnologic,10
3663,ethnological,12
3664,ethnologically,14
3665,ethnologist,11
3666,ethnology,9
3667,ethologic,9
3668,ethological,11
3669,ethologist,10
3670,ethology,8
3671,ethopoetic,10
3672,ethule,6
3673,ethyl,5
3674,ethylamine,10
3675,ethylate,8
3676,ethylene,8
3677,ethylic,7
3678,ethylidene,10
3679,ethylin,7
3680,ethylsulphuric,14
3681,etiolated,9
3682,etiolating,10
3683,etiolate,8
3684,etiolation,10
3685,etoolin,7
3686,etiological,11
3687,etiology,8
3688,etiquette,9
3689,etna,4
3690,etnean,6
3691,etoile,6
3692,etrurian,8
3693,etruscan,8
3694,ettin,5
3695,ettle,5
3696,etude,5
3697,etui,4
3698,etwee,5
3699,etym,4
3700,etymic,6
3701,etymologer,10
3702,etymological,12
3703,etymologicon,12
3704,etymologist,11
3705,etymologize,11
3706,etymologies,11
3707,etymology,9
3708,etymons,7
3709,etyma,5
3710,etymon,6
3711,etypical,8
3712,eu,2
3713,eucairite,9
3714,eucalyn,7
3715,eucalyptol,10
3716,eucalyptus,10
3717,eucharis,8
3718,eucharist,9
3719,eucharistic,11
3720,eucharistical,13
3721,euchite,7
3722,euchloric,9
3723,euchlorine,10
3724,euchologion,11
3725,euchology,9
3726,euchologue,10
3727,euchre,6
3728,euchroic,8
3729,euchroite,9
3730,euchrone,8
3731,euchymy,7
3732,euclase,7
3733,euclid,6
3734,euclidian,9
3735,eucopepoda,10
3736,eucrasy,7
3737,euctical,8
3738,eudemon,7
3739,eudaemon,8
3740,eudemonics,10
3741,eudaemonics,11
3742,eudemonism,10
3743,eudaemonism,11
3744,eudemonist,10
3745,eudaemonist,11
3746,eudemonistic,12
3747,eudaemonistic,13
3748,eudemonistical,14
3749,eudaemonistical,15
3750,eudialyte,9
3751,eudiometer,10
3752,eudiometric,11
3753,eudiometrical,13
3754,eudiometry,10
3755,eudipleura,10
3756,eudoxian,8
3757,euganoidei,10
3758,euge,4
3759,eugenia,7
3760,eugenic,7
3761,eugenics,8
3762,eugenin,7
3763,eugenol,7
3764,eugeny,6
3765,eugetic,7
3766,eugetinic,9
3767,eugh,4
3768,eugubian,8
3769,eugubine,8
3770,euharmonic,10
3771,euhemerism,10
3772,euhemerist,10
3773,euhemeristic,12
3774,euhemerize,10
3775,euisopoda,9
3776,eulachon,8
3777,eulerian,8
3778,eulogic,7
3779,eulogical,9
3780,eulogist,8
3781,eulogistic,10
3782,eulogistical,12
3783,eulogiums,9
3784,eulogium,8
3785,eulogized,9
3786,eulogizing,10
3787,eulogize,8
3788,eulogies,8
3789,eulogy,6
3790,eulytite,8
3791,eumenides,9
3792,eumolpus,8
3793,eunomian,8
3794,eunomy,6
3795,eunuch,6
3796,eunuchate,9
3797,eunuchism,9
3798,euonymin,8
3799,euonymus,8
3800,euornithes,10
3801,euosmitte,9
3802,eupathy,7
3803,eupatorium,10
3804,eupatrid,8
3805,eupepsia,8
3806,eupepsy,7
3807,eupeptic,8
3808,euphemism,9
3809,euphemistic,11
3810,euphemistical,13
3811,euphemized,10
3812,euphemizing,11
3813,euphemize,9
3814,euphoniad,9
3815,euphonic,8
3816,euphonical,10
3817,euphonicon,10
3818,euphonious,10
3819,euphonism,9
3820,euphonium,9
3821,euphonize,9
3822,euphonon,8
3823,euphonous,9
3824,euphonies,9
3825,euphony,7
3826,euphorbia,9
3827,euphorbiaceous,14
3828,euphorbial,10
3829,euphorbium,10
3830,euphotide,9
3831,euphrasy,8
3832,euphroe,7
3833,euphuism,8
3834,euphuist,8
3835,euphuistic,10
3836,euphuize,8
3837,eupione,7
3838,eupittone,9
3839,eupittonic,10
3840,euplastic,9
3841,euplectella,11
3842,euplexoptera,12
3843,eupnaea,7
3844,eupryion,8
3845,eurasian,8
3846,eurasiatio,10
3847,eureka,6
3848,eurhipidurous,13
3849,euripize,8
3850,euripus,7
3851,euritte,7
3852,euritic,7
3853,euroclydon,10
3854,european,8
3855,europeanize,11
3856,eurus,5
3857,euryale,7
3858,euryalida,9
3859,eurycerous,10
3860,eurypteroid,11
3861,eurypteroidea,13
3862,eurypterus,10
3863,eurythmy,8
3864,eusebian,8
3865,eustachian,10
3866,eustyle,7
3867,eutaxy,6
3868,euterpe,7
3869,euterpean,9
3870,euthanasia,10
3871,euthanasy,9
3872,euthiochroic,12
3873,euthyneura,10
3874,eutrophy,8
3875,eutychian,9
3876,eutychianism,12
3877,euxanthic,9
3878,euxanthin,9
3879,euxenite,8
3880,evacate,7
3881,evacuant,8
3882,evacuated,9
3883,evacuating,10
3884,evacuate,8
3885,evacuation,10
3886,evacuative,10
3887,evacuator,9
3888,evacuatory,10
3889,evaded,6
3890,evading,7
3891,evade,5
3892,evadible,8
3893,evagation,9
3894,evagination,11
3895,eval,4
3896,evaluate,8
3897,evaluation,10
3898,evanesced,9
3899,evanescing,10
3900,evanesce,8
3901,evanescence,11
3902,evanescent,10
3903,evanescently,12
3904,evangel,7
3905,evangelian,10
3906,evangelic,9
3907,evangelical,11
3908,evangelicalism,14
3909,evangelically,13
3910,evangelicalness,15
3911,evangelicism,12
3912,evangelicity,12
3913,evangelism,10
3914,evangelist,10
3915,evangelistary,13
3916,evangelistic,12
3917,evangelization,14
3918,evangelized,11
3919,evangelizing,12
3920,evangelize,10
3921,evangely,8
3922,evangile,8
3923,evanid,6
3924,evanish,7
3925,evanishment,11
3926,evaporable,10
3927,evaporated,10
3928,evaporating,11
3929,evaporate,9
3930,evaporation,11
3931,evaporaive,10
3932,evaporator,10
3933,evaporometer,12
3934,evasible,8
3935,evasion,7
3936,evasive,7
3937,eve,3
3938,evectics,8
3939,evection,8
3940,even,4
3941,evened,6
3942,evening,7
3943,evene,5
3944,evener,6
3945,evenfall,8
3946,evenhand,8
3947,evenhanded,10
3948,evenly,6
3949,evenminded,10
3950,evenness,8
3951,evensong,8
3952,event,5
3953,eventerate,10
3954,eventful,8
3955,eventide,8
3956,eventilate,10
3957,eventilation,12
3958,eventless,9
3959,eventognathi,12
3960,eventration,11
3961,eventtual,9
3962,eventualities,13
3963,eventuality,11
3964,eventually,10
3965,eventuated,10
3966,eventuating,11
3967,eventuate,9
3968,eventuation,11
3969,ever,4
3970,everduring,10
3971,everglade,9
3972,evergreen,9
3973,everich,7
3974,everych,7
3975,everichon,9
3976,everychon,9
3977,everlasting,11
3978,enerlasting,11
3979,everlastingly,13
3980,everlastingness,15
3981,everliving,10
3982,evermore,8
3983,evernic,7
3984,everse,6
3985,eversion,8
3986,eversive,8
3987,everted,7
3988,everting,8
3989,evert,5
3990,every,5
3991,everybody,9
3992,everyday,8
3993,everyone,8
3994,everything,10
3995,everywhen,9
3996,everywhere,10
3997,everywhereness,14
3998,evesdrop,8
3999,evesdropper,11
4000,evestigate,10
4001,evet,4
4002,evibrate,8
4003,evicted,7
4004,evicting,8
4005,evict,5
4006,eviction,8
4007,evidence,8
4008,evidenced,9
4009,evidencing,10
4010,evidencer,9
4011,evident,7
4012,evidential,10
4013,evidentiary,11
4014,evidently,9
4015,evidentness,11
4016,evigilation,11
4017,evil,4
4018,evilly,6
4019,evilness,8
4020,evinced,7
4021,evincing,8
4022,evince,6
4023,evincement,10
4024,evincible,9
4025,evincive,8
4026,evirate,7
4027,eviration,9
4028,eviscerated,11
4029,eviscerating,12
4030,eviscerate,10
4031,evisceration,12
4032,evitable,8
4033,evitate,7
4034,evitation,9
4035,evite,5
4036,eviternal,9
4037,eviternity,10
4038,evocate,7
4039,evocation,9
4040,evocative,9
4041,evocator,8
4042,evoked,6
4043,evoking,7
4044,evoke,5
4045,evolatic,8
4046,evolatical,10
4047,evolation,9
4048,evolute,7
4049,evolutility,11
4050,evolution,9
4051,evolutional,11
4052,evolutionary,12
4053,evolutionism,12
4054,evolutionist,12
4055,evolved,7
4056,evolving,8
4057,evolve,6
4058,evolvement,10
4059,evolvent,8
4060,evomit,6
4061,evomition,9
4062,evulgate,8
4063,evulgation,10
4064,evulsion,8
4065,ew,2
4066,ewe,3
4067,ewer,4
4068,ewery,5
4069,ewry,4
4070,ewt,3
4071,exacerrated,11
4072,exacerrating,12
4073,exacerbate,10
4074,exacerbation,12
4075,exacerbescence,14
4076,exacervation,12
4077,exacinate,9
4078,exacination,11
4079,exact,5
4080,exacted,7
4081,exacting,8
4082,exacter,7
4083,exaction,8
4084,exacritude,10
4085,exactly,7
4086,exactness,9
4087,exactor,7
4088,exactress,9
4089,exacuate,8
4090,exaeresis,9
4091,exaggerated,11
4092,exaggerating,12
4093,exaggerate,10
4094,exaggeration,12
4095,exaggerative,12
4096,exaggerator,11
4097,exaggeratory,12
4098,exagitate,9
4099,exagitation,11
4100,exalbuminous,12
4101,exalted,7
4102,exalting,8
4103,exalt,5
4104,exaltate,8
4105,exaltation,10
4106,exalter,7
4107,exaltment,9
4108,examen,6
4109,exametron,9
4110,examinable,10
4111,examinant,9
4112,examinate,9
4113,examination,11
4114,examinator,10
4115,examined,8
4116,examining,9
4117,examine,7
4118,examinee,8
4119,examiner,8
4120,examinership,12
4121,examplary,9
4122,example,7
4123,exampled,8
4124,exampling,9
4125,exampleless,11
4126,exampler,8
4127,exampless,9
4128,exanguious,10
4129,exangulous,10
4130,exanimate,9
4131,exanimation,11
4132,exanimous,9
4133,exannulate,10
4134,exanthem,8
4135,exanthemata,11
4136,exanthema,9
4137,exanthematic,12
4138,exanthematous,13
4139,exanthesis,10
4140,exantlate,9
4141,exantlation,11
4142,exarate,7
4143,exaration,9
4144,exarch,6
4145,exarchate,9
4146,exarillate,10
4147,exarticulate,12
4148,exarticulation,14
4149,exasperate,10
4150,exsasperated,12
4151,exasperating,12
4152,exasperater,11
4153,exasperation,12
4154,exaspidean,10
4155,exauctorate,11
4156,exauctoration,13
4157,exaugurate,10
4158,exauguration,12
4159,exauthorate,11
4160,exauthoration,13
4161,exauthorize,11
4162,excalceate,10
4163,excalceation,12
4164,excalfaction,12
4165,excalfactive,12
4166,excalfactory,12
4167,excalibur,9
4168,excamb,6
4169,excambie,8
4170,excambion,9
4171,excambium,9
4172,excandescence,13
4173,excandescent,12
4174,excantation,11
4175,excarnate,9
4176,excarnation,11
4177,excarnificate,13
4178,excarnification,15
4179,excavated,9
4180,excavating,10
4181,excavate,8
4182,excavation,10
4183,excavator,9
4184,excave,6
4185,excecate,8
4186,excecation,10
4187,excedent,8
4188,exceeded,8
4189,exceeding,9
4190,exceed,6
4191,exceedable,10
4192,exceeder,8
4193,exceedingly,11
4194,excelled,8
4195,excelling,9
4196,excel,5
4197,excellence,10
4198,excellencies,12
4199,excellency,10
4200,excellent,9
4201,excellently,11
4202,excelsior,9
4203,excentral,9
4204,excentric,9
4205,excentrical,11
4206,excentricity,12
4207,excepted,8
4208,excepting,9
4209,except,6
4210,exceptant,9
4211,exception,9
4212,exceptionable,13
4213,exceptional,11
4214,exceptioner,11
4215,exceptionless,13
4216,exceptious,10
4217,exceptive,9
4218,exceptless,10
4219,exceptor,8
4220,excerebration,13
4221,excerebrose,11
4222,excern,6
4223,excernent,9
4224,excerp,6
4225,excerpted,9
4226,excerpting,10
4227,excerpt,7
4228,excerption,10
4229,excerptive,10
4230,excerptor,9
4231,excess,6
4232,excessive,9
4233,exchange,8
4234,exchanged,9
4235,exchanging,10
4236,exchangeability,15
4237,exchangeable,12
4238,exchangeably,12
4239,exchanger,9
4240,excheat,7
4241,excheator,9
4242,exchequer,9
4243,exchequered,11
4244,exchequering,12
4245,excide,6
4246,excipient,9
4247,exciple,7
4248,excipulum,9
4249,excisable,9
4250,excise,6
4251,excised,7
4252,excising,8
4253,excisemen,9
4254,exciseman,9
4255,excision,8
4256,excitability,12
4257,excitable,9
4258,excitant,8
4259,excitate,8
4260,excitation,10
4261,excitative,10
4262,excitator,9
4263,excitatory,10
4264,excited,7
4265,exciting,8
4266,excite,6
4267,exciteful,9
4268,excitement,10
4269,exciter,7
4270,excitive,8
4271,exclaimed,9
4272,exclaiming,10
4273,exclaim,7
4274,exclaimer,9
4275,exclamation,11
4276,exclamative,11
4277,exclamatory,11
4278,exclave,7
4279,excluded,8
4280,excluding,9
4281,exclude,7
4282,exclusion,9
4283,exclusionary,12
4284,exclusionism,12
4285,exclusionist,12
4286,exclusive,9
4287,exclusiveness,13
4288,exclusivism,11
4289,exclusivist,11
4290,exclusory,9
4291,excoct,6
4292,excoction,9
4293,excogitated,11
4294,excogitating,12
4295,excogitate,10
4296,excogitation,12
4297,excommune,9
4298,excommunicable,14
4299,excommunicant,13
4300,excommunicate,13
4301,excommunicated,14
4302,excommunicating,15
4303,excommunication,15
4304,excommunicator,14
4305,excommunion,11
4306,excoriable,10
4307,excoriated,10
4308,excoriating,11
4309,eccoriate,9
4310,excoriation,11
4311,excorticate,11
4312,excortication,13
4313,excreable,9
4314,excreate,8
4315,excreation,10
4316,excrement,9
4317,excremental,11
4318,excrementitial,14
4319,excrementitious,15
4320,excrementive,12
4321,excrementize,12
4322,excrescence,11
4323,excrescency,11
4324,excrescent,10
4325,excrescential,13
4326,excreta,7
4327,excreted,8
4328,excreting,9
4329,excrete,7
4330,excretin,8
4331,excretion,9
4332,excretive,9
4333,excretory,9
4334,excruciable,11
4335,excruciate,10
4336,excruciated,11
4337,excruciating,12
4338,excruciation,12
4339,excubation,10
4340,excubitorium,12
4341,exculpable,10
4342,exculpated,10
4343,exculpating,11
4344,exculpate,9
4345,exculpation,11
4346,exculpatory,11
4347,excur,5
4348,excurrent,9
4349,excurse,7
4350,excursion,9
4351,excursionist,12
4352,excursive,9
4353,excursus,8
4354,excusable,9
4355,excusation,10
4356,excusator,9
4357,excusatory,10
4358,excused,7
4359,excusing,8
4360,excuse,6
4361,excuseless,10
4362,excusement,10
4363,excuser,7
4364,excuss,6
4365,excussion,9
4366,exeat,5
4367,execrable,9
4368,execrated,9
4369,execrating,10
4370,execrate,8
4371,execration,10
4372,execrative,10
4373,execratory,10
4374,exect,5
4375,exection,8
4376,executable,10
4377,executant,9
4378,executed,8
4379,executing,9
4380,execute,7
4381,executer,8
4382,execution,9
4383,executioner,11
4384,executive,9
4385,executively,11
4386,executor,8
4387,executorial,11
4388,executorship,12
4389,executory,9
4390,executress,10
4391,executrix,9
4392,exedent,7
4393,exedrae,7
4394,exedra,6
4395,exegeses,8
4396,exegesis,8
4397,exegete,7
4398,exegetic,8
4399,exegetical,10
4400,exegetics,9
4401,exegetist,9
4402,exemplar,8
4403,exemplarily,11
4404,exemplariness,13
4405,exemplarity,11
4406,exemplary,9
4407,exemplifiable,13
4408,exemplification,15
4409,exemplifier,11
4410,exemplified,11
4411,exemplifying,12
4412,exemplify,9
4413,exempt,6
4414,exempted,8
4415,exempting,9
4416,exemptible,10
4417,exemption,9
4418,exemptitious,12
4419,exenterate,10
4420,exenteration,12
4421,exequatur,9
4422,exequial,8
4423,exequious,9
4424,exequies,8
4425,exequy,6
4426,exercent,8
4427,exercisable,11
