,T,Length
3003,topsail,7
3004,topsmen,7
3005,topsman,7
3006,topsoil,7
3007,topsoiling,10
3008,topstone,8
3009,toque,5
3010,toquet,6
3011,tor,3
3012,torace,6
3013,torase,6
3014,torbernite,10
3015,torc,4
3016,torch,5
3017,torchbearer,11
3018,torcher,7
3019,torchlight,10
3020,torchwood,9
3021,torchwort,9
3022,toreador,8
3023,toret,5
3024,toreumatography,15
3025,toreumatology,13
3026,toreutic,8
3027,torgoch,7
3028,torilto,7
3029,torinese,8
3030,torment,7
3031,tormented,9
3032,tormenting,10
3033,tormenter,9
3034,tormentful,10
3035,tormentil,9
3036,tormentise,10
3037,tormentor,9
3038,tormentress,11
3039,tormentry,9
3040,tormina,7
3041,torminous,9
3042,tornadoes,9
3043,tornado,7
3044,tornariae,9
3045,tornaria,8
3046,torose,6
3047,torosity,8
3048,torous,6
3049,torpedinous,11
3050,torpedoes,9
3051,torpedo,7
3052,torpent,7
3053,torpescence,11
3054,toppescent,10
3055,torpid,6
3056,torpidity,9
3057,torpidly,8
3058,torpidness,10
3059,torpified,9
3060,torpifying,10
3061,torpify,7
3062,torpitude,9
3063,torpor,6
3064,torporific,10
3065,torquate,8
3066,torquated,9
3067,torque,6
3068,torqued,7
3069,torques,7
3070,torrefaction,12
3071,torrefied,9
3072,torrefying,10
3073,torrefy,7
3074,torrent,7
3075,torrential,10
3076,torrentine,10
3077,torricellian,12
3078,torrid,6
3079,torridity,9
3080,torridness,10
3081,torril,6
3082,torrock,7
3083,torsal,6
3084,torse,5
3085,torsel,6
3086,torsibillty,11
3087,torsion,7
3088,torsional,9
3089,torsk,5
3090,torsos,6
3091,torsi,5
3092,torso,5
3093,tort,4
3094,torta,5
3095,torteaus,8
3096,torteau,7
3097,torticollis,11
3098,tortile,7
3099,tortility,9
3100,tortilla,8
3101,tortion,7
3102,tortious,8
3103,tortiously,10
3104,tortive,7
3105,tortoise,8
3106,tortricid,9
3107,tortrix,7
3108,tortulous,9
3109,tortuose,8
3110,tortuoslty,10
3111,tortuous,8
3112,torturable,10
3113,torture,7
3114,tortured,8
3115,torturing.,10
3116,torturer,8
3117,torturingly,11
3118,torturous,9
3119,torulae,7
3120,torula,6
3121,torulaform,10
3122,torulose,8
3123,torulous,8
3124,tori,4
3125,torus,5
3126,torved,6
3127,torvity,7
3128,torvous,7
3129,tories,6
3130,tory,4
3131,toryism,7
3132,toscatter,9
3133,tose,4
3134,tosh,4
3135,toshred,7
3136,tossed,6
3137,tost,4
3138,tossing,7
3139,toss,4
3140,tossel,6
3141,tosser,6
3142,tossily,7
3143,tosspot,7
3144,tossy,5
3145,tosto,5
3146,toswink,7
3147,tot,3
3148,tota,4
3149,total,5
3150,totality,8
3151,totalize,8
3152,totally,7
3153,totalness,9
3154,toted,5
3155,toting,6
3156,tote,4
3157,totear,6
3158,totem,5
3159,totemic,7
3160,totemism,8
3161,totemist,8
3162,toter,5
3163,totipalmate,11
3164,totipalmi,9
3165,totipresence,12
3166,totipresent,11
3167,tottered,8
3168,tottering,9
3169,totter,6
3170,totterer,8
3171,totteringly,11
3172,tottery,7
3173,tottled,7
3174,tottling,8
3175,totly,5
3176,tottlish,8
3177,totty,5
3178,toty,4
3179,toucan,6
3180,toncanet,8
3181,touched,7
3182,touching,8
3183,touch,5
3184,touchable,9
3185,touchback,9
3186,touchdown,9
3187,touchhole,9
3188,touchily,8
3189,touchiness,10
3190,touchstone,10
3191,touchwood,9
3192,touchy,6
3193,tough,5
3194,toughened,9
3195,toughening,10
3196,toughen,7
3197,toughish,8
3198,toughly,7
3199,toughness,9
3200,touite,6
3201,toupee,6
3202,toupet,6
3203,toupettit,9
3204,tour,4
3205,toured,6
3206,touring,7
3207,touraco,7
3208,tourbillion,11
3209,tourist,7
3210,tourmaline,10
3211,tourn,5
3212,tournament,10
3213,tournery,8
3214,tourney,7
3215,tourniquet,10
3216,tournois,8
3217,tournure,8
3218,toused,6
3219,tousing,7
3220,touse,5
3221,touze,5
3222,tousel,6
3223,touser,6
3224,tousle,6
3225,tout,4
3226,touter,6
3227,tow,3
3228,towed,5
3229,towing,6
3230,towage,6
3231,towall,6
3232,toward,6
3233,towards,7
3234,towardliness,12
3235,towardly,8
3236,towardness,10
3237,towboat,7
3238,towel,5
3239,toweling,8
3240,tower,5
3241,towered,7
3242,towering,8
3243,towery,6
3244,towhee,6
3245,towilly,7
3246,towline,7
3247,town,4
3248,towned,6
3249,townhall,8
3250,townhouse,9
3251,townish,7
3252,townless,8
3253,townlet,7
3254,townsfolk,9
3255,township,8
3256,townsmen,8
3257,townsman,8
3258,townpeople,10
3259,townward,8
3260,townwards,9
3261,towpath,7
3262,towrope,7
3263,towser,6
3264,towy,4
3265,tox/mia,7
3266,toxic,5
3267,toxical,7
3268,toxicant,8
3269,toxicological,13
3270,toxicologist,12
3271,toxicology,10
3272,toxicomania,11
3273,toxifera,8
3274,toxin,5
3275,toxine,6
3276,toxiphobia,10
3277,toxodon,7
3278,toxodonta,9
3279,toxoglossa,10
3280,toxophilite,11
3281,toxotes,7
3282,toy,3
3283,toyed,5
3284,toying,6
3285,toyear,6
3286,toyer,5
3287,toyful,6
3288,toyhouse,8
3289,toyingly,8
3290,toyish,6
3291,toyman,6
3292,toyshop,7
3293,toysome,7
3294,toze,4
3295,tozy,4
3296,trabeae,7
3297,trabea,6
3298,trabeated,9
3299,trabeation,10
3300,trabeculae,10
3301,trabecula,9
3302,trabecular,10
3303,trabeculate,11
3304,trabu,5
3305,trace,5
3306,traced,6
3307,tracing,7
3308,traceable,9
3309,tracer,6
3310,traceries,9
3311,tracer/y,8
3312,tracheae,8
3313,trachea,7
3314,tracheal,8
3315,trachearia,10
3316,tracheary,9
3317,tracheata,9
3318,tracheate,9
3319,tracheid,8
3320,tracheitis,10
3321,trachelidan,11
3322,trachelipod,11
3323,trachelipoda,12
3324,trachelipodous,14
3325,trachelobranchiate,18
3326,trachelorrhaphy,15
3327,trachenchyma,12
3328,tracheobranchlae,16
3329,tracheobranchia,15
3330,tracheobronchial,16
3331,tracheocele,11
3332,tracheophonae,13
3333,tracheoscopy,12
3334,tracheotomy,11
3335,trachinoid,10
3336,trachitis,9
3337,trachycarpous,13
3338,trachymedusae,13
3339,trachyspermous,14
3340,trachystomata,13
3341,trachyte,8
3342,trachytic,9
3343,trachytoid,10
3344,track,5
3345,tracked,7
3346,tracking,8
3347,trackage,8
3348,tracker,7
3349,trackless,9
3350,trackmaster,11
3351,trackscout,10
3352,tract,5
3353,tractability,12
3354,tractable,9
3355,tractarian,10
3356,tractarianism,13
3357,tractate,8
3358,tractation,10
3359,tractator,9
3360,tractile,8
3361,tractility,10
3362,traction,8
3363,tractite,8
3364,tractitious,11
3365,tractive,8
3366,tractor,7
3367,tractoration,12
3368,tractory,8
3369,tractrix,8
3370,trad,4
3371,trade,5
3372,traded,6
3373,trading,7
3374,tradeful,8
3375,tradeless,9
3376,trader,6
3377,tradescantia,12
3378,tradesfolk,10
3379,tradesmen,9
3380,tradesman,9
3381,tradespeople,12
3382,tradeswomen,11
3383,tradeswoman,11
3384,tradition,9
3385,traditional,11
3386,traditionlism,13
3387,traditionalist,14
3388,traditionally,13
3389,traditionarily,14
3390,traditionary,12
3391,traditionaries,14
3392,traditioner,11
3393,traditionist,12
3394,traditive,9
3395,traditor,8
3396,traduced,8
3397,traducing,9
3398,traduce,7
3399,traducement,11
3400,traducent,9
3401,traducer,8
3402,traducian,9
3403,traducianism,12
3404,traducible,10
3405,traducingly,11
3406,traduct,7
3407,traduction,10
3408,traductive,10
3409,trafficked,10
3410,trafficking,11
3411,traffic,7
3412,trafficable,11
3413,trafficker,10
3414,trafficless,11
3415,tragacanth,10
3416,tragedian,9
3417,tragedienne,11
3418,tragedious,10
3419,tragedies,9
3420,tragedy,7
3421,tragic,6
3422,tragical,8
3423,tragopan,8
3424,tragus,6
3425,trailed,7
3426,trailing,8
3427,trail,5
3428,trailer,7
3429,trained,7
3430,training,8
3431,train,5
3432,trainable,9
3433,trainbands,10
3434,trainband,9
3435,trainbearer,11
3436,trainel,7
3437,trainer,7
3438,trainy,6
3439,traipse,7
3440,trais,5
3441,trays,5
3442,trait,5
3443,traiteur,8
3444,traitor,7
3445,traitoress,10
3446,traitorly,9
3447,traitorous,10
3448,traitory,8
3449,traitress,9
3450,trajected,9
3451,trajecting,10
3452,traject,7
3453,trajection,10
3454,trajectories,12
3455,trajectory,10
3456,trajet,6
3457,trajetour,9
3458,trajetry,8
3459,tralation,9
3460,tralatition,11
3461,tralatitious,12
3462,tralatitiously,14
3463,tralineate,10
3464,tralucency,10
3465,tralucent,9
3466,tram,4
3467,tramble,7
3468,trammel,7
3469,trammeled,9
3470,trammelled,10
3471,trammeling,10
3472,trammelling,11
3473,trammeler,9
3474,tramming,8
3475,tramontane,10
3476,tramped,7
3477,tramping,8
3478,tramp,5
3479,tramper,7
3480,trampled,8
3481,trampling,9
3482,trample,7
3483,trampler,8
3484,trampoose,9
3485,tramroad,8
3486,tramway,7
3487,tranation,9
3488,trance,6
3489,tranced,7
3490,trancing,8
3491,tranect,7
3492,trangram,8
3493,trannel,7
3494,tranquil,8
3495,tranquilization,15
3496,tranquillization,16
3497,tranquilized,12
3498,tranquilliized,14
3499,tranquilizing,13
3500,tranquillizing,14
3501,tranquilize,11
3502,tranquillize,12
3503,tranquilizer,12
3504,tranquillizer,13
3505,tranquillity,12
3506,tranquilly,10
3507,tranquilness,12
3508,transacted,10
3509,transacting,11
3510,transact,8
3511,transaction,11
3512,transactor,10
3513,transalpine,11
3514,transanimated,13
3515,transanimating,14
3516,transanimate,12
3517,transanimation,14
3518,transatlantic,13
3519,transaudient,12
3520,transcalency,12
3521,transcalent,11
3522,transcended,11
3523,transcending,12
3524,transcend,9
3525,transcendence,13
3526,transcendency,13
3527,transcendent,12
3528,trancscendent,13
3529,trancscendental,15
3530,transcendental,14
3531,transcendentalism,17
3532,transcendentalist,17
3533,transcendentality,17
3534,transcendentally,16
3535,transcendently,14
3536,transcendentness,16
3537,transcension,12
3538,transcolated,12
3539,transcolating,13
3540,transcolate,11
3541,transcolation,13
3542,transcontinental,16
3543,transcorporate,14
3544,transcribbler,13
3545,transcribed,11
3546,transcribing,12
3547,transcribe,10
3548,transcriber,11
3549,transcript,10
3550,transcription,13
3551,transcriptive,13
3552,transcur,8
3553,transcurrence,13
3554,transcursion,12
3555,transdialect,12
3556,transduction,12
3557,transe,6
3558,transelement,12
3559,transelementate,15
3560,transelementation,17
3561,transenne,9
3562,transept,8
3563,transexion,10
3564,transfeminate,13
3565,transferred,11
3566,transferring,12
3567,transfer,8
3568,transferability,15
3569,transferable,12
3570,transferee,10
3571,transference,12
3572,transferography,15
3573,transferrence,13
3574,transferrer,11
3575,transferrible,13
3576,transfigurate,13
3577,transfiguratien,15
3578,transfigured,12
3579,transfiguring,13
3580,transfigure,11
3581,transfixed,10
3582,transfixing,11
3583,transfix,8
3584,transfixion,11
3585,transfluent,11
3586,transflux,9
3587,transforate,11
3588,transformed,11
3589,transforming,12
3590,transform,9
3591,transformable,13
3592,transformation,14
3593,transformative,14
3594,transformer,11
3595,transformism,12
3596,transfreight,12
3597,transfretation,14
3598,transfrete,10
3599,transfuge,9
3600,transfugitive,13
3601,transfund,9
3602,transfused,10
3603,transfusing,11
3604,transfuse,9
3605,transfusible,12
3606,transfusion,11
3607,transfusive,11
3608,transgressed,12
3609,transgressing,13
3610,transgress,10
3611,transgression,13
3612,transgressional,15
3613,transgressive,13
3614,transgressor,12
3615,transhape,9
3616,tranship,8
3617,transhipment,12
3618,transhuman,10
3619,transhumanize,13
3620,transience,10
3621,transiency,10
3622,transient,9
3623,transilience,12
3624,transiliency,12
3625,transire,8
3626,transit,7
3627,transition,10
3628,transitional,12
3629,transitionary,13
3630,transitive,10
3631,transitorily,12
3632,transitoriness,14
3633,transitory,10
3634,translatable,12
3635,translated,10
3636,translating,11
3637,translate,9
3638,translation,11
3639,translatitious,14
3640,translative,11
3641,translator,10
3642,translatorship,14
3643,translatory,11
3644,translatress,12
3645,translavation,13
3646,transliterate,13
3647,transliteration,15
3648,translocation,13
3649,translucence,12
3650,translucency,12
3651,translucent,11
3652,translucently,13
3653,translucid,10
3654,translunary,11
3655,transmarine,11
3656,transmeable,11
3657,transmeatable,13
3658,transmeate,10
3659,transmeation,12
3660,transmew,8
3661,transmigrant,12
3662,transmigrated,13
3663,transmigrating,14
3664,transmigrate,12
3665,transmigration,14
3666,transmigrator,13
3667,transmigratory,14
3668,transmissibility,16
3669,transmissible,13
3670,transmission,12
3671,transmissive,12
3672,transmitted,11
3673,transmitting,12
3674,transmit,8
3675,transmittal,11
3676,transmittance,13
3677,transmitter,11
3678,transmittible,13
3679,transmogrification,18
3680,transmogrify,12
3681,transmove,9
3682,transmutability,15
3683,transmutable,12
3684,transmutation,13
3685,transmutationist,16
3686,transmuted,10
3687,transmuting,11
3688,transmute,9
3689,transmuter,10
3690,transmutual,11
3691,transnatation,13
3692,transnature,11
3693,transom,7
3694,transpadane,11
3695,transpalatine,13
3696,transpare,9
3697,transparence,12
3698,transparencies,14
3699,transparency,12
3700,transparent,11
3701,transpass,9
3702,transpassable,13
3703,transpatronize,14
3704,transpeciate,12
3705,transpicuous,12
3706,transpierced,12
3707,transpiercing,13
3708,transpierce,11
3709,transpirable,12
3710,transpiration,13
3711,transpiratory,13
3712,transpired,10
3713,transpiring,11
3714,transpire,9
3715,transplaced,11
3716,transplacing,12
3717,transplace,10
3718,transplanted,12
3719,transplanting,13
3720,transplant,10
3721,transplantation,15
3722,transplanter,12
3723,transplendency,14
3724,transplendent,13
3725,transported,11
3726,transporting,12
3727,transport,9
3728,transportability,16
3729,transportable,13
3730,transportal,11
3731,transportance,13
3732,transportant,12
3733,transportation,14
3734,transporter,11
3735,transportingly,14
3736,transportment,13
3737,transposable,12
3738,transposal,10
3739,transposed,10
3740,transposing,11
3741,transpose,9
3742,transposer,10
3743,transposition,13
3744,transpositional,15
3745,transpositive,13
3746,transprint,10
3747,transprose,10
3748,transregionate,14
3749,transshaped,11
3750,transshaping,12
3751,transshape,10
3752,transship,9
3753,transshipment,13
3754,transubstantiate,16
3755,transubstantiation,18
3756,transubstantiator,17
3757,transudation,12
3758,transudatory,12
3759,transuded,9
3760,transuding,10
3761,transude,8
3762,transume,8
3763,transsummer,11
3764,transumpt,9
3765,transumption,12
3766,transumptive,12
3767,transvasate,11
3768,transvasation,13
3769,transvection,12
3770,transverberate,14
3771,transversal,11
3772,transverse,10
3773,transversed,11
3774,transversing,12
3775,transversely,12
3776,transversion,12
3777,transvert,9
3778,transvertible,13
3779,transvolation,13
3780,trant,5
3781,tranter,7
3782,trapped,7
3783,trapping,8
3784,trap,4
3785,trapan,6
3786,trapanned,9
3787,trapanning,10
3788,trapanner,9
3789,trapball,8
3790,trapdoor,8
3791,trape,5
3792,trapes,6
3793,trapezate,9
3794,trapeze,7
3795,trapeziform,11
3796,trapeziums,10
3797,trapezia,8
3798,trapezium,9
3799,trapezohedral,13
3800,trapezohedron,13
3801,trapezoid,9
3802,trapezoidal,11
3803,traphole,8
3804,trappean,8
3805,trapper,7
3806,trappings,9
3807,trappist,8
3808,trappous,8
3809,trappures,9
3810,trappy,6
3811,traps,5
3812,trapstick,9
3813,trash,5
3814,trashed,7
3815,trashing,8
3816,trashily,8
3817,trashiness,10
3818,trashy,6
3819,trass,5
3820,traulism,8
3821,traumatic,9
3822,traumatism,10
3823,traunce,7
3824,traunt,6
3825,traunter,8
3826,travail,7
3827,travailed,9
3828,travailing,10
3829,travailous,10
3830,trave,5
3831,traveled,8
3832,travelled,9
3833,traveling,9
3834,travelling,10
3835,travel,6
3836,traveler,8
3837,travers,7
3838,traversable,11
3839,traverse,8
3840,traversed,9
3841,traversing,10
3842,traverser,9
3843,travertine,10
3844,travesty,8
3845,travesties,10
3846,travestied,10
3847,travesting,10
3848,trawl,5
3849,trawlboat,9
3850,trawler,7
3851,trawlermen,10
3852,trawlerman,10
3853,trawlnet,8
3854,trawlwarp,9
3855,tray,4
3856,trayfuls,8
3857,trayful,7
3858,treacher,8
3859,treacherous,11
3860,treachery,9
3861,treachetour,11
3862,treachour,9
3863,treacle,7
3864,treacly,7
3865,trod,4
3866,trodden,7
3867,treading,8
3868,tread,5
3869,treadboard,10
3870,treader,7
3871,treadfowl,9
3872,treadle,7
3873,treadmill,9
3874,treadwheel,10
3875,treague,7
3876,treason,7
3877,treasonable,11
3878,treasonous,10
3879,treasure,8
3880,treasured,9
3881,treasuring,10
3882,treasurer,9
3883,treasurership,13
3884,treasuress,10
3885,treasuries,10
3886,treasury,8
3887,treated,7
3888,treating,8
3889,treat,5
3890,treatable,9
3891,treatably,9
3892,treater,7
3893,treatise,8
3894,treatiser,9
3895,treatment,9
3896,treature,8
3897,treaties,8
3898,treaty,6
3899,treble,6
3900,trebled,7
3901,trebling,8
3902,trebleness,10
3903,treblet,7
3904,trebly,6
3905,trebuchet,9
3906,trebucket,9
3907,trechometer,11
3908,treckschuyt,11
3909,treddle,7
3910,tredille,8
3911,tree,4
3912,treed,5
3913,treeing,7
3914,treebeard,9
3915,treefuls,8
3916,treeful,7
3917,treeless,8
3918,treen,5
3919,treenail,8
3920,trefle,6
3921,trefoil,7
3922,trefoiled,9
3923,treget,6
3924,tregetour,9
3925,tregetry,8
3926,trehala,7
3927,trehalose,9
3928,treillage,9
3929,trellis,7
3930,trellised,9
3931,tremando,8
3932,trematode,9
3933,trematodea,10
3934,trematoid,9
3935,trembled,8
3936,trembling,9
3937,tremble,7
3938,trembler,8
3939,tremella,8
3940,tremendous,10
3941,tremex,6
3942,tremolando,10
3943,tremolite,9
3944,tremolo,7
3945,tremor,6
3946,tremulant,9
3947,tremulent,9
3948,tremulous,9
3949,tren,4
3950,trenail,7
3951,trenched,8
3952,trenching,9
3953,trench,6
3954,trenchand,9
3955,trenchant,9
3956,trenchantly,11
3957,trencher,8
3958,trenchmore,10
3959,trended,7
3960,trending,8
3961,trend,5
3962,trender,7
3963,trendle,7
3964,trental,7
3965,trepan,6
3966,trepanned,9
3967,trepanning,10
3968,trepang,7
3969,trepanize,9
3970,trepanner,9
3971,trepeget,8
3972,trephine,8
3973,trephined,9
3974,trephining,10
3975,trepid,6
3976,trepidation,11
3977,trepidity,9
3978,tresayle,8
3979,tresor,6
3980,trespassed,10
3981,trespassing,11
3982,trespass,8
3983,trespasser,10
3984,tress,5
3985,tressed,7
3986,tressel,7
3987,tressful,8
3988,tressure,8
3989,tressured,9
3990,tressy,6
3991,trestle,7
3992,trestletree,11
3993,trestlework,11
3994,tret,4
3995,tretable,8
3996,trething,8
3997,tretis,6
3998,tretys,6
3999,trevat,6
4000,trevet,6
4001,trew,4
4002,trewe,5
4003,trews,5
4004,trewth,6
4005,trey,4
4006,triable,7
4007,triableness,11
4008,triacid,7
4009,triacle,7
4010,triacontahedral,15
4011,triaconter,10
4012,triad,5
4013,triadelphous,12
4014,triadic,7
4015,triakisoctahedron,17
4016,trial,5
4017,triality,8
4018,trialogue,9
4019,triamide,8
4020,triamine,8
4021,triander,8
4022,triandria,9
4023,triandrian,10
4024,triandrous,10
4025,triangle,8
4026,triangled,9
4027,triangular,10
4028,triangulares,12
4029,triangularity,13
4030,triangularly,12
4031,triangulated,12
4032,triangulating,13
4033,triangulate,11
4034,triangulation,13
4035,triarchies,10
4036,triarchy,8
4037,triarian,8
4038,triarticulate,13
4039,trias,5
4040,triassic,8
4041,triatic,7
4042,triatomic,9
4043,tribal,6
4044,tribalism,9
4045,tribasic,8
4046,tribble,7
4047,tribe,5
4048,triblet,7
4049,tribolet,8
4050,tribometer,10
4051,tribrach,8
4052,tribracteate,12
4053,tribual,7
4054,tribular,8
4055,tribulation,11
4056,tribunal,8
4057,tribunary,9
4058,tribunate,9
4059,tribune,7
4060,tribuneship,11
4061,tribunician,11
4062,tribunitial,11
4063,tribunitian,11
4064,tribunitious,12
4065,trubutarily,11
4066,tributariness,13
4067,tributary,9
4068,tributaries,11
4069,tribute,7
4070,tributed,8
4071,tributing,9
4072,tributer,8
4073,tricae,6
4074,trica,5
4075,tricarballylic,14
4076,tricarbimide,12
4077,trice,5
4078,tricennarious,13
4079,tricennial,10
4080,tricentenary,12
4081,triceps,7
4082,trichiasis,10
4083,trichinae,9
4084,trichina,8
4085,trichiniasis,12
4086,trichinize,10
4087,trichinoscope,13
4088,trichinosis,11
4089,trichinous,10
4090,trichite,8
4091,trichiuriform,13
4092,trichiuroid,11
4093,trichiurus,10
4094,trichloride,11
4095,trichobranchia,14
4096,trichocyst,10
4097,trichogyne,10
4098,trichomanes,11
4099,trichomatose,12
4100,trichome,8
4101,trichophore,11
4102,trichopter,10
4103,trichoptera,11
4104,trichopteran,12
4105,trichopterous,13
4106,trichord,8
4107,trichoscolices,14
4108,trichotomous,12
4109,trichotomy,10
4110,trichroic,9
4111,trichroism,10
4112,trichromatic,12
4113,trichromatism,13
4114,trichromic,10
4115,tricipital,10
4116,trick,5
4117,tricked,7
4118,tricking,8
4119,tricker,7
4120,trickery,8
4121,trickiness,10
4122,trickish,8
4123,trickled,8
4124,trickling,9
4125,trickle,7
4126,trickment,9
4127,tricksiness,11
4128,trickster,9
4129,tricksy,7
4130,tricktrack,10
4131,tricky,6
4132,triclinate,10
4133,tricliniary,11
4134,triclinic,9
4135,triclinia,9
4136,triclinium,10
4137,tricoccous,10
4138,tricolor,8
4139,tricolored,10
4140,tricornigerous,14
4141,tricorporal,11
4142,tricorporate,12
4143,tricostate,10
4144,tricot,6
4145,tricrotic,9
4146,tricrotism,10
4147,tricrotous,10
4148,tricurvate,10
4149,tricuspid,9
4150,tricuspidate,12
4151,tricycle,8
4152,tridacna,8
4153,tridactyl,9
4154,tridactyle,10
4155,tridactylous,12
4156,triddler,8
4157,tride,5
4158,tridecane,9
4159,tridecatoic,11
4160,tridecatylene,13
4161,trident,7
4162,tridentate,10
4163,tridentated,11
4164,tridented,9
4165,tridentiferous,14
4166,tridentine,10
4167,tridiapason,11
4168,tridimensional,14
4169,triding,7
4170,triduan,7
4171,tridymite,9
4172,tried,5
4173,triedral,8
4174,triennial,9
4175,triennially,11
4176,triens,6
4177,trier,5
4178,trierarch,9
4179,trierarchises,13
4180,trierarchy,10
4181,trieterical,11
4182,trieterics,10
4183,triethylamine,13
4184,trifacial,9
4185,trifallowed,11
4186,trifallowing,12
4187,trifallow,9
4188,trifarious,10
4189,trifasciated,12
4190,trifid,6
4191,trifistulary,12
4192,trifle,6
4193,trifled,7
4194,trifling,8
4195,trifler,7
4196,trifloral,9
4197,triflorous,10
4198,trifluctuation,14
4199,trifoliate,10
4200,trifoliated,11
4201,trifoliolate,12
4202,trifolium,9
4203,trifoly,7
4204,triforium,9
4205,triform,7
4206,triformity,10
4207,trifurcate,10
4208,trifurcated,11
4209,trig,4
4210,trigamist,9
4211,trigamous,9
4212,trigamy,7
4213,trigastric,10
4214,trigeminal,10
4215,trigeminous,11
4216,trigenic,8
4217,trigger,7
4218,trigintal,9
4219,triglyceride,12
4220,triglyph,8
4221,triglyphic,10
4222,triglyphical,12
4223,trigness,8
4224,trigon,6
4225,trigonal,8
4226,trigone,7
4227,trigonia,8
4228,trigonocerous,13
4229,trigonometric,13
4230,trigonometrical,15
4231,trigonometry,12
4232,trigonous,9
4233,trigram,7
4234,trigrammatic,12
4235,trigrammic,10
4236,trigraph,8
4237,trigyn,6
4238,trigynia,8
4239,trigynian,9
4240,trigynous,9
4241,trihedral,9
4242,trihedron,9
4243,trihoral,8
4244,trijugate,9
4245,trijugous,9
4246,trikosane,9
4247,trilateral,10
4248,trilemma,8
4249,trilinear,9
4250,trilingual,10
4251,trilinguar,10
4252,triliteral,10
4253,triliteralism,13
4254,triliterality,13
4255,triliteralness,14
4256,trilith,7
4257,trilithic,9
4258,trilithons,10
4259,trilithon,9
4260,trill,5
4261,trilled,7
4262,trilling,8
4263,trillachan,10
4264,trillion,8
4265,trillium,8
4266,trillo,6
4267,trilobate,9
4268,trilobation,11
4269,trilobed,8
4270,trilobita,9
4271,trilobite,9
4272,trilobitic,10
4273,trilocular,10
4274,trilogy,7
4275,triluminar,10
4276,triluminous,11
4277,trimmed,7
4278,trimming,8
4279,trim,4
4280,trimaculated,12
4281,trimellic,9
4282,trimembral,10
4283,trimera,7
4284,trimeran,8
4285,trimerous,9
4286,trimesitic,10
4287,trimester,9
4288,trimestral,10
4289,trimestrial,11
4290,trimeter,8
4291,trimethyl,9
4292,trimethylamine,14
4293,trimethylene,12
4294,trimetric,9
4295,trimetrical,11
4296,trimly,6
4297,trimmer,7
4298,trimmingly,10
4299,trimness,8
4300,trimorph,8
4301,trimorphic,10
4302,trimorphous,11
4303,trimorphism,11
4304,trimurti,8
4305,trimyarian,10
4306,trinal,6
4307,trindle,7
4308,trine,5
4309,trinervate,10
4310,trinerve,8
4311,trinerved,9
4312,tringa,6
4313,tringle,7
4314,tringoid,8
4315,trinitarian,11
4316,trinitarianism,14
4317,trinitrocellulose,17
4318,trinitrophenol,14
4319,trinity,7
4320,triniunity,10
4321,trink,5
4322,trinket,7
4323,trinketer,9
4324,trinketry,9
4325,trinkle,7
4326,trinoctial,10
4327,trinodal,8
4328,trinomial,9
4329,trinominal,10
4330,trinucleus,10
4331,trio,4
4332,triobolar,9
4333,triobolary,10
4334,trioctile,9
4335,tri/cia,7
4336,tri/cious,9
4337,triole,6
4338,triolein,8
4339,triolet,7
4340,trionychoidea,13
4341,trionyx,7
4342,trior,5
4343,trioxide,8
4344,tripped,7
4345,tripping,8
4346,trip,4
4347,tripalmitate,12
4348,tripalmitin,11
4349,tripang,7
4350,triparted,9
4351,tripartible,11
4352,tripartient,11
4353,tripartite,10
4354,tripartitely,12
4355,tripartition,12
4356,tripaschal,10
4357,tripe,5
4358,tripedal,8
4359,tripel,6
4360,tripeman,8
4361,tripennate,10
4362,tripersonal,11
4363,tripersonalist,14
4364,tripersonality,14
4365,tripery,7
4366,tripestone,10
4367,tripetaloid,11
4368,tripetalous,11
4369,triphane,8
4370,triphthong,10
4371,triphthongal,12
4372,triphyline,10
4373,triphylite,10
4374,triphyllous,11
4375,tripinnate,10
4376,tripinnatifid,13
4377,triplasian,10
4378,triple,6
4379,tripled,7
4380,tripling,8
4381,triplet,7
4382,triplicate,10
4383,triplication,12
4384,triplicity,10
4385,triplicostate,13
4386,triplite,8
4387,triploblastic,13
4388,triploidite,11
4389,triply,6
4390,tripmadam,9
4391,tripod,6
4392,tripodian,9
4393,tripody,7
4394,tripoli,7
4395,tripoline,9
4396,tripolitan,10
4397,triposes,8
4398,tripos,6
4399,trippant,8
4400,tripper,7
4401,trippet,7
4402,trippingly,10
4403,tripsis,7
4404,triptote,8
4405,triptych,8
4406,tripudiary,10
4407,tripudiate,10
4408,tripudiation,12
4409,triquadrantal,13
4410,triquetral,10
4411,triquetrous,11
4412,triquetra,9
4413,triquetrum,10
4414,triradiate,10
4415,triradiated,11
4416,trirectangular,14
4417,trireme,7
4418,trirhomboidal,13
4419,trisacramentarian,17
4420,trisagion,9
4421,trisected,9
4422,trisecting,10
4423,trisect,7
4424,trisection,10
4425,triseralous,11
4426,triserial,9
4427,triseriate,10
4428,trismus,7
4429,trisnitrate,11
4430,trisoctahedron,14
4431,trispast,8
4432,trispaston,10
4433,trispermous,11
4434,trisplanchnic,13
4435,triste,6
4436,trist,5
4437,tristearate,11
4438,tristearin,10
4439,tristtul,8
4440,tristfully,10
4441,tristichous,11
4442,tristigmatic,12
4443,tristigmatose,13
4444,tristitiate,11
4445,tristoma,8
4446,tristy,6
4447,trisuls,7
4448,trisulcate,10
4449,trisulphide,11
4450,trisyllabic,11
4451,trisyllabical,13
4452,trisyllable,11
4453,trite,5
4454,triternate,10
