,A,Length
2492,alcayde,7.0
2493,alcalde,7.0
2494,alcalimeter,11.0
2495,alcanna,7.0
2496,alcarrazas,10.0
2497,alcarraza,9.0
2498,alcazar,7.0
2499,alcedo,6.0
2500,alchemic,8.0
2501,alchemical,10.0
2502,alchemically,12.0
2503,alchemist,9.0
2504,alchemistic,11.0
2505,alchemistical,13.0
2506,alchemistry,11.0
2507,alchemize,9.0
2508,alchemy,7.0
2509,alchymic,8.0
2510,alchymist,9.0
2511,alchymistic,11.0
2512,alchymy,7.0
2513,alco,4.0
2514,alcoate,7.0
2515,alcohate,8.0
2516,alcohol,7.0
2517,alcoholate,10.0
2518,alcoholature,12.0
2519,alcoholic,9.0
2520,alcoholism,10.0
2521,alcoholization,14.0
2522,alcoholized,11.0
2523,alcoholizing,12.0
2524,alcoholize,10.0
2525,alcoholometer,13.0
2526,alcoholmeter,12.0
2527,alcoholometric,14.0
2528,alcoholometrical,16.0
2529,alcoholmetrical,15.0
2530,alcoholometry,13.0
2531,alcohometer,11.0
2532,alcohometric,12.0
2533,alcoometry,10.0
2534,alcoran,7.0
2535,alcoranic,9.0
2536,alcoranist,10.0
2537,alcove,6.0
2538,alcyon,6.0
2539,alcyonacea,10.0
2540,alcyonaria,10.0
2541,alcyones,8.0
2542,alcyonic,8.0
2543,alcyonium,9.0
2544,alcyonoid,9.0
2545,alday,5.0
2546,aldebaran,9.0
2547,aldehyde,8.0
2548,aldehydic,9.0
2549,alder,5.0
2550,aller,5.0
2551,aldermen,8.0
2552,alderman,8.0
2553,aldermancy,10.0
2554,aldermanic,10.0
2555,aldermanity,11.0
2556,aldermanlike,12.0
2557,aldermanly,10.0
2558,aldermanry,10.0
2559,aldermanship,12.0
2560,aldern,6.0
2561,alderney,8.0
2562,aldine,6.0
2563,ale,3.0
2564,aleak,5.0
2565,aleatory,8.0
2566,alebench,8.0
2567,aleberry,8.0
2568,alecithal,9.0
2569,aleconner,9.0
2570,alecost,7.0
2571,alectorides,11.0
2572,alectoromachy,13.0
2573,alectoromancy,13.0
2574,alectryomancy,13.0
2575,alee,4.0
2576,alegar,6.0
2577,aleger,6.0
2578,alegge,6.0
2579,alehoof,7.0
2580,alehouse,8.0
2581,alemannic,9.0
2582,alembic,7.0
2583,alembroth,9.0
2584,alength,7.0
2585,alepidote,9.0
2586,alepole,7.0
2587,alert,5.0
2588,alertly,7.0
2589,alertness,9.0
2590,alestake,8.0
2591,aletaster,9.0
2592,alethiology,11.0
2593,alethoscope,11.0
2594,aleuromancy,11.0
2595,aleurometer,11.0
2596,aleurone,8.0
2597,aleuronic,9.0
2598,aleutian,8.0
2599,aleutic,7.0
2600,alevin,6.0
2601,alew,4.0
2602,alewives,8.0
2603,alewife,7.0
2604,alexanders,10.0
2605,alisanders,10.0
2606,alexandrian,11.0
2607,alexandrine,11.0
2608,alexipharmac,12.0
2609,alexipharmacal,14.0
2610,alexipharmic,12.0
2611,alexipharmical,14.0
2612,alexipyretic,12.0
2613,alexiteric,10.0
2614,alexiterical,12.0
2615,alfa,4.0
2616,alfalfa,7.0
2617,alfenide,8.0
2618,alferes,7.0
2619,alfet,5.0
2620,alfilaria,9.0
2621,alfione,7.0
2622,alfresco,8.0
2623,algae,5.0
2624,alga,4.0
2625,algal,5.0
2626,algaroba,8.0
2627,algarot,7.0
2628,algaroth,8.0
2629,algarovilla,11.0
2630,algate,6.0
2631,algates,7.0
2632,algazel,7.0
2633,algebra,7.0
2634,algebraic,9.0
2635,algebraical,11.0
2636,algebraically,13.0
2637,algebraist,10.0
2638,algebraize,10.0
2639,algerian,8.0
2640,algerine,8.0
2641,algid,5.0
2642,algidity,8.0
2643,algidness,9.0
2644,algific,7.0
2645,algoid,6.0
2646,algol,5.0
2647,algological,11.0
2648,algologist,10.0
2649,algology,8.0
2650,algonquin,9.0
2651,algonkin,8.0
2652,algor,5.0
2653,algorism,8.0
2654,algorithm,9.0
2655,algous,6.0
2656,alguazil,8.0
2657,algum,5.0
2658,alhambra,8.0
2659,alhambraic,10.0
2660,alhambresque,12.0
2661,alhenna,7.0
2662,alias,5.0
2663,aliases,7.0
2664,alibi,5.0
2665,alibility,9.0
2666,alible,6.0
2667,alicant,7.0
2668,alidade,7.0
2669,alien,5.0
2670,alienability,12.0
2671,alienable,9.0
2672,alienage,8.0
2673,alienate,8.0
2674,alienated,9.0
2675,alienating,10.0
2676,alienation,10.0
2677,alienator,9.0
2678,aliene,6.0
2679,alienee,7.0
2680,alienism,8.0
2681,alienist,8.0
2682,alienor,7.0
2683,aliethmoid,10.0
2684,aliethmoidal,12.0
2685,alife,5.0
2686,aliferous,9.0
2687,aliform,7.0
2688,aligerous,9.0
2689,alighted,8.0
2690,alit,4.0
2691,alighting,9.0
2692,alight,6.0
2693,align,5.0
2694,alignment,9.0
2695,alike,5.0
2696,aliment,7.0
2697,alimental,9.0
2698,alimentally,11.0
2699,alimentariness,14.0
2700,alimentary,10.0
2701,alimentation,12.0
2702,alimentiveness,14.0
2703,alimonious,10.0
2704,alimony,7.0
2705,alinasal,8.0
2706,aline,5.0
2707,alineation,10.0
2708,alinement,9.0
2709,aliner,6.0
2710,alioth,6.0
2711,aliped,6.0
2712,aliquant,8.0
2713,aliquot,7.0
2714,aliseptal,9.0
2715,alish,5.0
2716,alisphenoid,11.0
2717,alisphenoidal,13.0
2718,alitrunk,8.0
2719,aliturgical,11.0
2720,aliunde,7.0
2721,alive,5.0
2722,alizari,7.0
2723,alizarin,8.0
2724,alkahest,8.0
2725,alkalamide,10.0
2726,alkalescence,12.0
2727,alkalescency,12.0
2728,alkalescent,11.0
2729,alkalis,7.0
2730,alkalies,8.0
2731,alkali,6.0
2732,alkalifiable,12.0
2733,alkalified,10.0
2734,alkalifying,11.0
2735,alkalify,8.0
2736,alkalimeter,11.0
2737,alkalimetric,12.0
2738,alkalimetrical,14.0
2739,alkalimetry,11.0
2740,alkaline,8.0
2741,alkalinity,10.0
2742,alkalious,9.0
2743,alkalizate,10.0
2744,alkalization,12.0
2745,alkalized,9.0
2746,alkalizing,10.0
2747,alkalize,8.0
2748,alkaloid,8.0
2749,alkaloidal,10.0
2750,alkanet,7.0
2751,alkargen,8.0
2752,alkarsin,8.0
2753,alkazar,7.0
2754,alkekengi,9.0
2755,alkermes,8.0
2756,alkoran,7.0
2757,alkoranic,9.0
2758,alkoranist,10.0
2759,all,3.0
2760,allah,5.0
2761,allanite,8.0
2762,allantoic,9.0
2763,allantoid,9.0
2764,allantoidal,11.0
2765,allantoidea,11.0
2766,allantoin,9.0
2767,allantois,9.0
2768,allatrate,9.0
2769,allayed,7.0
2770,allaying,8.0
2771,allay,5.0
2772,allayer,7.0
2773,allayment,9.0
2774,allecret,8.0
2775,allect,6.0
2776,allectation,11.0
2777,allective,9.0
2778,alledge,7.0
2779,allegation,10.0
2780,alleged,7.0
2781,alleging,8.0
2782,allege,6.0
2783,allegeable,10.0
2784,allegeance,10.0
2785,allegement,10.0
2786,alleger,7.0
2787,allegge,7.0
2788,allegiance,10.0
2789,allegiant,9.0
2790,allegoric,9.0
2791,allegorical,11.0
2792,allegorist,10.0
2793,allegorization,14.0
2794,allegorized,11.0
2795,allegorizing,12.0
2796,allegorize,10.0
2797,allegorizer,11.0
2798,allegories,10.0
2799,allegory,8.0
2800,allegresse,10.0
2801,allegretto,10.0
2802,allegro,7.0
2803,alleluia,8.0
2804,alleluiah,9.0
2805,allemande,9.0
2806,allemannic,10.0
2807,allenarly,9.0
2808,allerion,8.0
2809,alleviated,10.0
2810,alleviating,11.0
2811,alleviate,9.0
2812,alleviation,11.0
2813,alleviative,11.0
2814,alleviator,10.0
2815,alleviatory,11.0
2816,alleys,6.0
2817,alley,5.0
2818,alleyed,7.0
2819,alleyway,8.0
2820,allfours,8.0
2821,allhallond,10.0
2822,allhallow,9.0
2823,allhallows,10.0
2824,allhallowmas,12.0
2825,allhallown,10.0
2826,allhallowtide,13.0
2827,allheal,7.0
2828,alliable,8.0
2829,alliaceous,10.0
2830,alliance,8.0
2831,alliant,7.0
2832,allice,6.0
2833,allis,5.0
2834,alliciency,10.0
2835,allicient,9.0
2836,allied,6.0
2837,alligate,8.0
2838,alligation,10.0
2839,alligator,9.0
2840,allignment,10.0
2841,allineate,9.0
2842,allineation,11.0
2843,allision,8.0
2844,alliteral,9.0
2845,alliterate,10.0
2846,alliteration,12.0
2847,alliterative,12.0
2848,alliterator,11.0
2849,allium,6.0
2850,allmouth,8.0
2851,allness,7.0
2852,allnight,8.0
2853,allocate,8.0
2854,allocation,10.0
2855,allocatur,9.0
2856,allochroic,10.0
2857,allochroite,11.0
2858,allochroous,11.0
2859,allocution,10.0
2860,allod,5.0
2861,allodial,8.0
2862,allodialism,11.0
2863,allodialist,11.0
2864,allodially,10.0
2865,allodiary,9.0
2866,allodium,8.0
2867,allogamous,10.0
2868,allogamy,8.0
2869,allogeneous,11.0
2870,allograph,9.0
2871,allomerism,10.0
2872,allomerous,10.0
2873,allomorph,9.0
2874,allomorphic,11.0
2875,allomorphism,12.0
2876,allonge,7.0
2877,allonym,7.0
2878,allonymous,10.0
2879,alloo,5.0
2880,allopath,8.0
2881,allopathic,10.0
2882,allopathically,14.0
2883,allopathist,11.0
2884,allopathy,9.0
2885,allophylic,10.0
2886,allophylian,11.0
2887,alloquy,7.0
2888,allotted,8.0
2889,allotting,9.0
2890,allot,5.0
2891,allotheism,10.0
2892,allotment,9.0
2893,allotriophagy,13.0
2894,allotropic,10.0
2895,allotropical,12.0
2896,allotropicity,13.0
2897,allotropism,11.0
2898,allotropy,9.0
2899,allotropize,11.0
2900,allottable,10.0
2901,allottee,8.0
2902,allotter,8.0
2903,allottery,9.0
2904,allowed,7.0
2905,allowing,8.0
2906,allow,5.0
2907,allowable,9.0
2908,allowableness,13.0
2909,allowably,9.0
2910,allowance,9.0
2911,allowancing,11.0
2912,allowedly,9.0
2913,allower,7.0
2914,alloxan,7.0
2915,alloxanate,10.0
2916,alloxanic,9.0
2917,alloxantin,10.0
2918,alloy,5.0
2919,alloyed,7.0
2920,alloying,8.0
2921,alloyage,8.0
2922,allspice,8.0
2923,allthing,8.0
2924,alluded,7.0
2925,alluding,8.0
2926,allude,6.0
2927,allumette,9.0
2928,alluminor,9.0
2929,allurance,9.0
2930,alluring,8.0
2931,allure,6.0
2932,allurement,10.0
2933,allurer,7.0
2934,allusion,8.0
2935,allusive,8.0
2936,allusively,10.0
2937,allusiveness,12.0
2938,allusory,8.0
2939,alluvial,8.0
2940,alluvion,8.0
2941,alluvious,9.0
2942,alluviums,9.0
2943,alluvia,7.0
2944,alluvium,8.0
2945,allwhere,8.0
2946,allwork,7.0
2947,allying,7.0
2948,ally,4.0
2949,allies,6.0
2950,allyl,5.0
2951,allylene,8.0
2952,alma,4.0
2953,almah,5.0
2954,almacantar,10.0
2955,almadia,7.0
2956,almadie,7.0
2957,almagest,8.0
2958,almagra,7.0
2959,almain,6.0
2960,almayne,7.0
2961,alman,5.0
2962,almanac,7.0
2963,almandine,9.0
2964,alme,4.0
2965,almeh,5.0
2966,almendron,9.0
2967,almery,6.0
2968,almesse,7.0
2969,almightful,10.0
2970,almightiful,11.0
2971,almightily,10.0
2972,almightiness,12.0
2973,almighty,8.0
2974,almner,6.0
2975,almond,6.0
2976,almondine,9.0
2977,almoner,7.0
2978,almonership,11.0
2979,almonries,9.0
2980,almonry,7.0
2981,almose,6.0
2982,almost,6.0
2983,almry,5.0
2984,alms,4.0
2985,almsdeed,8.0
2986,almsfolk,8.0
2987,almsgiver,9.0
2988,almsgiving,10.0
2989,almshouse,9.0
2990,almsman,7.0
2991,almucantar,10.0
2992,almuce,6.0
2993,almude,6.0
2994,almug,5.0
2995,alnage,6.0
2996,alnager,7.0
2997,aloes,5.0
2998,aloe,4.0
2999,aloetic,7.0
3000,aloft,5.0
3001,alogian,7.0
3002,alogy,5.0
3003,aloin,5.0
3004,alomancy,8.0
3005,alone,5.0
3006,alonely,7.0
3007,aloneness,9.0
3008,along,5.0
3009,alongshore,10.0
3010,alongshoreman,13.0
3011,alongside,9.0
3012,alongst,7.0
3013,aloof,5.0
3014,aloofness,9.0
3015,alopecia,8.0
3016,alopecy,7.0
3017,alopecist,9.0
3018,alose,5.0
3019,alouatte,8.0
3020,aloud,5.0
3021,alow,4.0
3022,alp,3.0
3023,alpaca,6.0
3024,alpen,5.0
3025,alpenstock,10.0
3026,alpestrine,10.0
3027,alpha,5.0
3028,alphabet,8.0
3029,alphabetarian,13.0
3030,alphabetic,10.0
3031,alphabetical,12.0
3032,alphabetically,14.0
3033,alphabetics,11.0
3034,alphabetism,11.0
3035,alphabetize,11.0
3036,alphonsine,10.0
3037,alpigene,8.0
3038,alpine,6.0
3039,alpinist,8.0
3040,alpist,6.0
3041,alpia,5.0
3042,alquifou,8.0
3043,already,7.0
3044,als,3.0
3045,alsatian,8.0
3046,alsike,6.0
3047,also,4.0
3048,alt,3.0
3049,altaian,7.0
3050,altaic,6.0
3051,altar,5.0
3052,altarage,8.0
3053,altarist,8.0
3054,altarpiece,10.0
3055,altarwise,9.0
3056,altazimuth,10.0
3057,altered,7.0
3058,altering,8.0
3059,alter,5.0
3060,alterability,12.0
3061,alterable,9.0
3062,alterableness,13.0
3063,alterably,9.0
3064,alterant,8.0
3065,alteration,10.0
3066,alterative,10.0
3067,altercated,10.0
3068,altercating,11.0
3069,altercate,9.0
3070,altercation,11.0
3071,altercative,11.0
3072,alterity,8.0
3073,altern,6.0
3074,alternacy,9.0
3075,alternant,9.0
3076,alternate,9.0
3077,alternated,10.0
3078,alternating,11.0
3079,alternately,11.0
3080,alternateness,13.0
3081,alternation,11.0
3082,alternative,11.0
3083,alternatively,13.0
3084,alternativeness,15.0
3085,alternity,9.0
3086,althaea,7.0
3087,althea,6.0
3088,altheine,8.0
3089,altho,5.0
3090,althorn,7.0
3091,although,8.0
3092,altiloquence,12.0
3093,altiloquent,11.0
3094,altimeter,9.0
3095,altimetry,9.0
3096,altincar,8.0
3097,altiscope,9.0
3098,altisonant,10.0
3099,altisonous,10.0
3100,altissimo,9.0
3101,altitude,8.0
3102,altitudinal,11.0
3103,altitudinarian,14.0
3104,altivolant,10.0
3105,altos,5.0
3106,alto,4.0
3107,altogether,10.0
3108,altometer,9.0
3109,altrical,8.0
3110,altrices,8.0
3111,altruism,8.0
3112,altruist,8.0
3113,altruistic,10.0
3114,aludel,6.0
3115,alula,5.0
3116,alular,6.0
3117,alum,4.0
3118,alumen,6.0
3119,alumina,7.0
3120,aluminate,9.0
3121,aluminated,10.0
3122,alumine,7.0
3123,aluminic,8.0
3124,aluminiferous,13.0
3125,aluminiform,11.0
3126,aluminium,9.0
3127,aluminize,9.0
3128,aluminous,9.0
3129,aluminum,8.0
3130,alumish,7.0
3131,alumnae,7.0
3132,alumna,6.0
3133,alumni,6.0
3134,alumnus,7.0
3135,alunite,7.0
3136,alunogen,8.0
3137,alure,5.0
3138,alutaceous,10.0
3139,alutation,9.0
3140,alvearies,9.0
3141,alveary,7.0
3142,alveated,8.0
3143,alveolar,8.0
3144,alveolary,9.0
3145,alveolate,9.0
3146,alveole,7.0
3147,alveoliform,11.0
3148,alveoli,7.0
3149,alveolus,8.0
3150,alvei,5.0
3151,alveus,6.0
3152,alvine,6.0
3153,alway,5.0
3154,always,6.0
3155,alyssum,7.0
3156,am,2.0
3157,amability,9.0
3158,amacratic,9.0
3159,amadavat,8.0
3160,amadou,6.0
3161,amain,5.0
3162,amalgam,7.0
3163,amalgama,8.0
3164,amalgamated,11.0
3165,amalgamating,12.0
3166,amalgamate,10.0
3167,amalgamation,12.0
3168,amalgamative,12.0
3169,amalgamator,11.0
3170,amalgamize,10.0
3171,amandine,8.0
3172,amanitine,9.0
3173,amanuenses,10.0
3174,amanuensis,10.0
3175,amaracus,8.0
3176,amarant,7.0
3177,amarantaceous,13.0
3178,amaranth,8.0
3179,amaranthine,11.0
3180,amaranthus,10.0
3181,amarantus,9.0
3182,amarine,7.0
3183,amaritude,9.0
3184,amaryllidaceous,15.0
3185,amaryllideous,13.0
3186,amaryllis,9.0
3187,amassed,7.0
3188,amassing,8.0
3189,amass,5.0
3190,amassable,9.0
3191,amasser,7.0
3192,amassette,9.0
3193,amassment,9.0
3194,amasthenic,10.0
3195,amate,5.0
3196,amateur,7.0
3197,amateurish,10.0
3198,amateurism,10.0
3199,amateurship,11.0
3200,amative,7.0
3201,amativeness,11.0
3202,amatorial,9.0
3203,amatorially,11.0
3204,amatorian,9.0
3205,amatorious,10.0
3206,amatory,7.0
3207,amaurosis,9.0
3208,amaurotic,9.0
3209,amazed,6.0
3210,amazing,7.0
3211,amaze,5.0
3212,amazedly,8.0
3213,amazedness,10.0
3214,amazeful,8.0
3215,amazement,9.0
3216,amazon,6.0
3217,amazonian,9.0
3218,amazonite,9.0
3219,ambages,7.0
3220,ambaginous,10.0
3221,ambagious,9.0
3222,ambagitory,10.0
3223,ambassade,9.0
3224,embassade,9.0
3225,ambassador,10.0
3226,embassador,10.0
3227,ambassadorial,13.0
3228,ambassadorship,14.0
3229,ambassadress,12.0
3230,ambassage,9.0
3231,ambassy,7.0
3232,amber,5.0
3233,ambered,7.0
3234,ambergrease,11.0
3235,ambergris,9.0
3236,ambidexter,10.0
3237,ambidexterity,13.0
3238,ambidextral,11.0
3239,ambidextrous,12.0
3240,ambidextrously,14.0
3241,ambidextrousness,16.0
3242,ambient,7.0
3243,ambigenous,10.0
3244,ambigu,6.0
3245,ambiguities,11.0
3246,ambiguity,9.0
3247,ambiguous,9.0
3248,ambiguously,11.0
3249,ambiguousness,13.0
3250,ambilevous,10.0
3251,ambiloquy,9.0
3252,ambiparous,10.0
3253,ambit,5.0
3254,ambition,8.0
3255,ambitionist,11.0
3256,ambitionless,12.0
3257,ambitious,9.0
3258,ambitiously,11.0
3259,ambitiousness,13.0
3260,ambitus,7.0
3261,ambled,6.0
3262,ambling,7.0
3263,amble,5.0
3264,ambler,6.0
3265,amblingly,9.0
3266,amblotic,8.0
3267,amblygon,8.0
3268,amblygonal,10.0
3269,amblyopia,9.0
3270,amblyopy,8.0
3271,amblyopic,9.0
3272,amblypoda,9.0
3273,ambos,5.0
3274,ambo,4.0
3275,ambon,5.0
3276,ambreate,8.0
3277,ambreic,7.0
3278,ambrein,7.0
3279,ambrite,7.0
3280,ambrose,7.0
3281,ambrosia,8.0
3282,ambrosiac,9.0
3283,ambrosial,9.0
3284,ambrosially,11.0
3285,ambrosian,9.0
3286,ambrosin,8.0
3287,ambrotype,9.0
3288,ambries,7.0
3289,ambry,5.0
3290,ambulacral,10.0
3291,ambulacriform,13.0
3292,ambulacra,9.0
3293,ambulacrum,10.0
3294,ambulance,9.0
3295,ambulant,8.0
3296,ambulate,8.0
3297,ambulation,10.0
3298,ambulative,10.0
3299,ambulator,9.0
3300,ambulatorial,12.0
3301,ambulatory,10.0
3302,ambulatories,12.0
3303,amburry,7.0
3304,ambuscade,9.0
3305,ambuscaded,10.0
3306,ambuscading,11.0
3307,ambuscado,9.0
3308,ambuscadoed,11.0
3309,ambush,6.0
3310,ambushed,8.0
3311,ambushing,9.0
3312,ambusher,8.0
3313,ambushment,10.0
3314,ambustion,9.0
3315,amebean,7.0
3316,ameer,5.0
3317,amir,4.0
3318,amel,4.0
3319,amelcorn,8.0
3320,ameliorable,11.0
3321,ameliorated,11.0
3322,ameliorating,12.0
3323,ameliorate,10.0
3324,amelioration,12.0
3325,ameliorative,12.0
3326,ameliorator,11.0
3327,amen,4.0
3328,amenability,11.0
3329,amenable,8.0
3330,amenableness,12.0
3331,amenably,8.0
3332,amenage,7.0
3333,amenance,8.0
3334,amended,7.0
3335,amending,8.0
3336,amend,5.0
3337,amendable,9.0
3338,amendatory,10.0
3339,amende,6.0
3340,amender,7.0
3341,amendful,8.0
3342,amendment,9.0
3343,amends,6.0
3344,amenities,9.0
3345,amenity,7.0
3346,amenorrhoea,11.0
3347,amenorrhoeal,12.0
3348,ament,5.0
3349,amentaceous,11.0
3350,amentia,7.0
3351,amentiferous,12.0
3352,amentiform,10.0
3353,amenta,6.0
3354,amentum,7.0
3355,amenuse,7.0
3356,amerced,7.0
3357,amercing,8.0
3358,amerce,6.0
3359,amerceable,10.0
3360,amercement,10.0
3361,amercer,7.0
3362,amerciament,11.0
3363,american,8.0
3364,americanism,11.0
3365,americanization,15.0
3366,americanizer,12.0
3367,americanizing,13.0
3368,americanize,11.0
3369,amess,5.0
3370,ametabola,9.0
3371,ametabolian,11.0
3372,ametabolic,10.0
3373,ametabolous,11.0
3374,amethodist,10.0
3375,amethyst,8.0
3376,amethystine,11.0
3377,ametropia,9.0
3378,amharic,7.0
3379,amia,4.0
3380,amiability,10.0
3381,amiable,7.0
3382,amiableness,11.0
3383,amiably,7.0
3384,amianth,7.0
3385,amianthiform,12.0
3386,amianthoid,10.0
3387,amianthus,9.0
3388,amic,4.0
3389,amicability,11.0
3390,amicable,8.0
3391,amicableness,12.0
3392,amicably,8.0
3393,amice,5.0
3394,amid,4.0
3395,amide,5.0
3396,amidin,6.0
3397,amido,5.0
3398,amidogen,8.0
3399,amidships,9.0
3400,amidst,6.0
3401,amine,5.0
3402,amioid,6.0
3403,amioidei,8.0
3404,amiss,5.0
3405,amissibility,12.0
3406,amissible,9.0
3407,amission,8.0
3408,amit,4.0
3409,amities,7.0
3410,amity,5.0
3411,amma,4.0
3412,ammeter,7.0
3413,ammiral,7.0
3414,ammite,6.0
3415,ammodyte,8.0
3416,ammonia,7.0
3417,ammoniac,8.0
3418,ammoniacal,10.0
3419,ammoniated,10.0
3420,ammonic,7.0
3421,ammonite,8.0
3422,ammonitiferous,14.0
3423,ammonitoidea,12.0
3424,ammonium,8.0
3425,ammunition,10.0
3426,ammunitioned,12.0
3427,ammunitioning,13.0
3428,amnesia,7.0
3429,amnesic,7.0
3430,amnestic,8.0
3431,amnesty,7.0
3432,amnestied,9.0
3433,amnestying,10.0
3434,amnicolist,10.0
3435,amnigenous,10.0
3436,amnion,6.0
3437,amnios,6.0
3438,amniota,7.0
3439,amniotic,8.0
3440,amoebae,7.0
3441,amoebas,7.0
3442,amoeba,6.0
3443,amoebaeum,9.0
3444,amoebea,7.0
3445,amoebean,8.0
3446,amoebian,8.0
3447,amoebiform,10.0
3448,amoeboid,8.0
3449,amoebous,8.0
3450,amolition,9.0
3451,amomum,6.0
3452,amoneste,8.0
3453,among,5.0
3454,amongst,7.0
3455,amontillado,11.0
3456,amoret,6.0
3457,amorette,8.0
3458,amorist,7.0
3459,amorosa,7.0
3460,amorosity,9.0
3461,amoroso,7.0
3462,amorous,7.0
3463,amorously,9.0
3464,amorousness,11.0
3465,amorphas,8.0
3466,amorpha,7.0
3467,amorphism,9.0
3468,amorphous,9.0
3469,amorphozoa,10.0
3470,amorphozoic,11.0
3471,amorphy,7.0
3472,amort,5.0
3473,amortise,8.0
3474,amortisation,12.0
3475,amortisable,11.0
3476,amortisement,12.0
3477,amortizable,11.0
3478,amortization,12.0
3479,amortize,8.0
3480,amortizement,12.0
3481,amorwe,6.0
3482,amotion,7.0
3483,amotus,6.0
3484,amounted,8.0
3485,amounting,9.0
3486,amount,6.0
3487,amour,5.0
3488,amovability,11.0
3489,amovable,8.0
3490,amove,5.0
3491,ampelite,8.0
3492,ampere,6.0
3493,amperemeter,11.0
3494,amperometer,11.0
3495,ampersand,9.0
3496,amphiarthrodial,15.0
3497,amphiarthrosis,14.0
3498,amphiaster,10.0
3499,amphibia,8.0
3500,amphibial,9.0
3501,amphibian,9.0
3502,amphibiological,15.0
3503,amphibiology,12.0
3504,amphibiotica,12.0
3505,amphibious,10.0
3506,amphibiously,12.0
3507,amphibiums,10.0
3508,amphibium,9.0
3509,amphiblastic,12.0
3510,amphibole,9.0
3511,amphibolic,10.0
3512,amphibological,14.0
3513,amphibologies,13.0
3514,amphibology,11.0
3515,amphibolous,11.0
3516,amphibolies,11.0
3517,amphiboly,9.0
3518,amphibrach,10.0
3519,amphicarpic,11.0
3520,amphicarpous,12.0
3521,amphichroic,11.0
3522,amphicoelian,12.0
3523,amphicoelous,12.0
3524,amphicome,9.0
3525,amphictyonic,12.0
3526,amphictyons,11.0
3527,amphictyonies,13.0
3528,amphictyony,11.0
3529,amphid,6.0
3530,amphidisc,9.0
3531,amphidromical,13.0
3532,amphigamous,11.0
3533,amphigean,9.0
3534,amphigen,8.0
3535,amphigene,9.0
3536,amphigenesis,12.0
3537,amphigenous,11.0
3538,amphigonic,10.0
3539,amphigonous,11.0
3540,amphigony,9.0
3541,amphigoric,10.0
3542,amphigory,9.0
3543,amphilogism,11.0
3544,amphilogy,9.0
3545,amphimacer,10.0
3546,amphineura,10.0
3547,amphioxus,9.0
3548,amphipneust,11.0
3549,amphipod,8.0
3550,amphipodan,10.0
3551,amphipoda,9.0
3552,amphipodous,11.0
3553,amphiprostyle,13.0
3554,amphirhina,10.0
3555,amphisbaena,11.0
3556,amphisbaenoid,13.0
3557,amphiscii,9.0
3558,amphiscians,11.0
3559,amphistomous,12.0
3560,amphistylic,11.0
3561,amphitheater,12.0
3562,amphitheatre,12.0
3563,amphitheatral,13.0
3564,amphitheatric,13.0
3565,amphitheatrical,15.0
3566,amphitheatrically,17.0
3567,amphitrocha,11.0
3568,amphitropal,11.0
3569,amphitropous,12.0
3570,amphiuma,8.0
3571,amphopeptone,12.0
3572,amophorae,9.0
3573,amphora,7.0
3574,amphoral,8.0
3575,amphoric,8.0
3576,amphoteric,10.0
3577,ample,5.0
3578,amplectant,10.0
3579,ampleness,9.0
3580,amplexation,11.0
3581,amplexicaul,11.0
3582,ampliate,8.0
3583,ampliation,10.0
3584,ampliative,10.0
3585,amplificate,11.0
3586,amplification,13.0
3587,amplificative,13.0
3588,amplificatory,13.0
3589,amplifier,9.0
3590,amplified,9.0
3591,amplifying,10.0
3592,amplify,7.0
3593,amplitude,9.0
3594,amply,5.0
3595,ampul,5.0
3596,ampullae,8.0
3597,ampulla,7.0
3598,ampullaceous,12.0
3599,ampullar,8.0
3600,ampullary,9.0
3601,ampullate,9.0
3602,ampullated,10.0
3603,ampulliform,11.0
3604,amputated,9.0
3605,amputating,10.0
3606,amputate,8.0
3607,amputation,10.0
3608,amputator,9.0
3609,ampyx,5.0
3610,amrita,6.0
3611,amsel,5.0
3612,amzel,5.0
3613,amuck,5.0
3614,amulet,6.0
3615,amuletic,8.0
3616,amurcous,8.0
3617,amusable,8.0
3618,amused,6.0
3619,amusing,7.0
3620,amuse,5.0
3621,amusement,9.0
3622,amuser,6.0
3623,amusette,8.0
3624,amusive,7.0
3625,amy,3.0
3626,amyelous,8.0
3627,amygdalaceous,13.0
3628,amygdalate,10.0
3629,amygdalic,9.0
3630,amygdaliferous,14.0
3631,amygdalin,9.0
3632,amygdaline,10.0
3633,amygdaloid,10.0
3634,amygdaloidal,12.0
3635,amyl,4.0
3636,amylaceous,10.0
3637,amylate,7.0
3638,amylene,7.0
3639,amylic,6.0
3640,amylobacter,11.0
3641,amyloid,7.0
3642,amyloidal,9.0
3643,amylolytic,10.0
3644,amylose,7.0
3645,amyous,6.0
3646,amyss,5.0
3647,an,2.0
3648,ana,3.0
3649,anabaptism,10.0
3650,anabaptist,10.0
3651,anabaptistic,12.0
3652,anabaptistical,14.0
3653,anabaptistry,12.0
3654,anabaptize,10.0
3655,anabas,6.0
3656,anabasis,8.0
3657,anabatic,8.0
3658,anabolic,8.0
3659,anabolism,9.0
3660,anacamptic,10.0
3661,anacamptically,14.0
3662,anacamptics,11.0
3663,anacanthini,11.0
3664,anacanths,9.0
3665,anacanthous,11.0
3666,anacardiaceous,14.0
3667,anacardic,9.0
3668,anacardium,10.0
3669,anacathartic,12.0
3670,anacharis,9.0
3671,anachoret,9.0
3672,anachoretical,13.0
