,C,Length
3023,chiliasm,8
3024,chiliast,8
3025,chiliastic,10
3026,chill,5
3027,chilled,7
3028,chilling,8
3029,chilli,6
3030,chilliness,10
3031,chillness,9
3032,chilly,6
3033,chilognath,10
3034,chilognatha,11
3035,chiloma,7
3036,chilopod,8
3037,chilopoda,9
3038,chilostoma,10
3039,chilostomata,12
3040,chilostomatous,14
3041,chimaera,8
3042,chimaeroid,10
3043,chimango,8
3044,chimb,5
3045,chime,5
3046,chimed,6
3047,chiming,7
3048,chimer,6
3049,chimeras,8
3050,chimera,7
3051,chimere,7
3052,chimeric,8
3053,chimerical,10
3054,chimerically,12
3055,chiminage,9
3056,chimneys,8
3057,chimney,7
3058,chimpanzee,10
3059,chin,4
3060,china,5
3061,chinaldine,10
3062,chinamen,8
3063,chinaman,8
3064,chincapin,9
3065,chinch,6
3066,chincha,7
3067,chinche,7
3068,chincherie,10
3069,chinchilla,10
3070,chinchona,9
3071,chincona,8
3072,chine,5
3073,chined,6
3074,chinese,7
3075,chink,5
3076,chinked,7
3077,chinking,8
3078,chinky,6
3079,chinned,7
3080,chinoidine,10
3081,chinoline,9
3082,chinone,7
3083,chinook,7
3084,chinquapin,10
3085,chinsed,7
3086,chinsing,8
3087,chinse,6
3088,chintzes,8
3089,chintz,6
3090,chioppine,9
3091,chipped,7
3092,chipping,8
3093,chip,4
3094,chipmunk,8
3095,chipper,7
3096,chippeways,10
3097,chippy,6
3098,chips,5
3099,chiragra,8
3100,chiragrical,11
3101,chiretta,8
3102,chirk,5
3103,chirm,5
3104,chirognomy,10
3105,chirograph,10
3106,chirographer,12
3107,chirographic,12
3108,chirographical,14
3109,chirographist,13
3110,chirography,11
3111,chirogymnast,12
3112,chirological,12
3113,chirologist,11
3114,chirology,9
3115,chiromancer,11
3116,chiromancy,10
3117,chiromanist,11
3118,chiromantist,12
3119,chiromantic,11
3120,chiromantical,13
3121,chiromonic,10
3122,chironomy,9
3123,chiroplast,10
3124,chiropodist,11
3125,chiropody,9
3126,chirosophist,12
3127,chirped,7
3128,chirping,8
3129,chirp,5
3130,chirper,7
3131,chirpingly,10
3132,chirre,6
3133,chirruped,9
3134,chirruping,10
3135,chirrup,7
3136,chirrupy,8
3137,chirurgeon,10
3138,chirurgeonly,12
3139,chirurgery,10
3140,chirurgic,9
3141,chirurgical,11
3142,chisel,6
3143,chiseled,8
3144,chiselled,9
3145,chiseling,9
3146,chiselling,10
3147,chisleu,7
3148,chisley,7
3149,chit,4
3150,chitchat,8
3151,chitin,6
3152,chitinization,13
3153,chitinous,9
3154,chiton,6
3155,chitter,7
3156,chitterling,11
3157,chitterlings,12
3158,chittra,7
3159,chitty,6
3160,chivachie,9
3161,chivalric,9
3162,chivalrous,10
3163,chivalrously,12
3164,chivalry,8
3165,chive,5
3166,chivied,7
3167,chivying,8
3168,chivy,5
3169,chlamydate,10
3170,chlamyphore,11
3171,chlamyses,9
3172,chlamydes,9
3173,chlamys,7
3174,chloasma,8
3175,chloral,7
3176,chloralamide,12
3177,chloralism,10
3178,chloralum,9
3179,chloranil,9
3180,chlorate,8
3181,chloraurate,11
3182,chlorhydric,11
3183,chlorhydrin,11
3184,chloric,7
3185,chloridate,10
3186,chloride,8
3187,chloridic,9
3188,chloridize,10
3189,chlorimetry,11
3190,chlorinated,11
3191,chlorinating,12
3192,chlorinate,10
3193,chlorination,12
3194,chlorine,8
3195,chloriodic,10
3196,chloriodine,11
3197,chlorite,8
3198,chloritic,9
3199,chlormethane,12
3200,chlorocruorin,13
3201,chlorodyne,10
3202,chloroform,10
3203,chloroformed,12
3204,chloroforming,13
3205,chloroleucite,13
3206,chlorometer,11
3207,chlorometry,11
3208,chloropal,9
3209,chloropeptic,12
3210,chlorophane,11
3211,chlorophyll,11
3212,chloroplastid,13
3213,chloroplatinic,14
3214,chlorosis,9
3215,chlorotic,9
3216,chlorous,8
3217,chlorpicrin,11
3218,chloruret,9
3219,choak,5
3220,choanoid,8
3221,chocard,7
3222,chocked,7
3223,chocking,8
3224,chock,5
3225,chockablock,11
3226,chocolate,9
3227,choctaws,8
3228,chode,5
3229,chogset,7
3230,choice,6
3231,choiceful,9
3232,choicely,8
3233,choiceness,10
3234,choir,5
3235,choked,6
3236,choking,7
3237,choke,5
3238,chokeberry,10
3239,chokecherry,11
3240,chokedar,8
3241,choker,6
3242,cholaemaa,9
3243,cholagogue,10
3244,cholate,7
3245,cholecystis,11
3246,cholecystotomy,14
3247,choledology,11
3248,choleic,7
3249,choler,6
3250,cholera,7
3251,choleraic,9
3252,choleric,8
3253,cholericly,10
3254,choleriform,11
3255,cholerine,9
3256,choleroid,9
3257,cholesteric,11
3258,cholesterin,11
3259,choliamb,8
3260,choliambic,10
3261,cholic,6
3262,cholinic,8
3263,choline,7
3264,cholochrome,11
3265,cholophaein,11
3266,choltry,7
3267,chomp,5
3268,chondrification,15
3269,chondrify,9
3270,chondrigen,10
3271,chondrigenous,13
3272,chondrin,8
3273,chondrite,9
3274,chondritic,10
3275,chondritis,10
3276,chondrodite,11
3277,chondroganoidea,15
3278,chondrogen,10
3279,chondrogenesis,14
3280,chondroid,9
3281,chondrology,11
3282,chondromata,11
3283,chondroma,9
3284,chondrometer,12
3285,chondropterygian,16
3286,chondropterygii,15
3287,chondrostei,11
3288,chondrotomy,11
3289,chondrule,9
3290,chose,5
3291,chosen,6
3292,choosing,8
3293,choose,6
3294,chooser,7
3295,chopped,7
3296,chopping,8
3297,chop,4
3298,chopboat,8
3299,chopchurch,10
3300,chopfallen,10
3301,chophouse,9
3302,chopin,6
3303,chopine,7
3304,chopness,8
3305,chopper,7
3306,choppy,6
3307,chops,5
3308,chopstick,9
3309,choragic,8
3310,choragi,7
3311,choragus,8
3312,choral,6
3313,choralist,9
3314,chorally,8
3315,chord,5
3316,chorded,7
3317,chording,8
3318,chorda,6
3319,chordal,7
3320,chordata,8
3321,chordee,7
3322,chore,5
3323,chored,6
3324,choring,7
3325,chorea,6
3326,choree,6
3327,choregraphic,12
3328,choregraphical,14
3329,choregraphy,11
3330,choreic,7
3331,chorepiscopal,13
3332,chorepiscopi,12
3333,chorepiscopus,13
3334,choreus,7
3335,choriambs,9
3336,choriamb,8
3337,choriambic,10
3338,choriambi,9
3339,choriambuses,12
3340,choriambus,10
3341,choric,6
3342,chorion,7
3343,chorisis,8
3344,chorist,7
3345,chorister,9
3346,choristic,9
3347,chorograph,10
3348,chorographer,12
3349,chorographical,14
3350,chorography,11
3351,choroid,7
3352,choroidal,9
3353,chorology,9
3354,chorometry,10
3355,choruses,8
3356,chorus,6
3357,chorused,8
3358,chorusing,9
3359,choses,6
3360,chouan,6
3361,chough,6
3362,chouicha,8
3363,chouka,6
3364,choule,6
3365,choultry,8
3366,choused,7
3367,chousing,8
3368,chouse,6
3369,chout,5
3370,chowchow,8
3371,chowder,7
3372,chowry,6
3373,chowter,7
3374,chrematistics,13
3375,chreotechnics,13
3376,chrestomathic,13
3377,chrestomathy,12
3378,chrism,6
3379,chrismal,8
3380,chrismation,11
3381,chrismatory,11
3382,chrisom,7
3383,christ,6
3384,christcross,11
3385,christened,10
3386,christening,11
3387,christen,8
3388,christendom,11
3389,christian,9
3390,christianism,12
3391,christianite,12
3392,christianity,12
3393,christianization,16
3394,christianized,13
3395,christianizing,14
3396,christianize,12
3397,christianlike,13
3398,christianly,11
3399,christianness,13
3400,christless,10
3401,christlike,10
3402,christly,8
3403,christmas,9
3404,christmastide,13
3405,christocentric,14
3406,christology,11
3407,christom,8
3408,christophany,12
3409,chromascope,11
3410,chromate,8
3411,chromatic,9
3412,chromatical,11
3413,chromatically,13
3414,chromatics,10
3415,chromatin,9
3416,chromatism,10
3417,chromatogenous,14
3418,chromatography,14
3419,chromatology,12
3420,chromatophore,13
3421,chromatoscope,13
3422,chromatosphere,14
3423,chromatrope,11
3424,chromatype,10
3425,chrome,6
3426,chromic,7
3427,chromid,7
3428,chromidrosis,12
3429,chromism,8
3430,chromite,8
3431,chromium,8
3432,chromos,7
3433,chromo,6
3434,chromoblast,11
3435,chromogen,9
3436,chromogenic,11
3437,chromograph,11
3438,chromoleucite,13
3439,chromolithograph,16
3440,chromolithographer,18
3441,chromolithographic,18
3442,chromolithography,17
3443,chromophane,11
3444,chromophore,11
3445,chromophotography,17
3446,chromophotolithograph,21
3447,chromoplastid,13
3448,chromosome,10
3449,chromosphere,12
3450,chromospheric,13
3451,chromotype,10
3452,chromous,8
3453,chromule,8
3454,chronic,7
3455,chronical,9
3456,chronicle,9
3457,chronicled,10
3458,chronicling,11
3459,chronicler,10
3460,chronique,9
3461,chronogram,10
3462,chronogrammatic,15
3463,chronogrammatical,17
3464,chronogrammatist,16
3465,chronograph,11
3466,chronographer,13
3467,chronographic,13
3468,chronography,12
3469,chronologer,11
3470,chronologic,11
3471,chronological,13
3472,chronologist,12
3473,chronologies,12
3474,chronology,10
3475,chronometer,11
3476,chronometric,12
3477,chronometrical,14
3478,chronometry,11
3479,chronopher,10
3480,chronoscope,11
3481,chrysalid,9
3482,chrysalids,10
3483,chrysalides,11
3484,chrysalis,9
3485,chrysaniline,12
3486,chrysanthemum,13
3487,chrysarobin,11
3488,chrysaurin,10
3489,chryselephantine,16
3490,chrysene,8
3491,chrysoberyl,11
3492,chrysochlore,12
3493,chrysocolla,11
3494,chrysogen,9
3495,chrysography,12
3496,chrysoidine,11
3497,chrysolite,10
3498,chrysology,10
3499,chrysopa,8
3500,chrysophane,11
3501,chrysophanic,12
3502,chrysoprase,11
3503,chrysoprasus,12
3504,chrysosperm,11
3505,chrysotype,10
3506,chthonic,8
3507,chthonophagia,13
3508,chthonophagy,12
3509,chub,4
3510,chubbed,7
3511,chubbedness,11
3512,chubby,6
3513,chucked,7
3514,chucking,8
3515,chuck,5
3516,chuckled,8
3517,chuckling,9
3518,chuckle,7
3519,chucklehead,11
3520,chuckleheaded,13
3521,chud,4
3522,chuet,5
3523,chufa,5
3524,chuff,5
3525,chuffily,8
3526,chuffiness,10
3527,chuffy,6
3528,chulan,6
3529,chum,4
3530,chummed,7
3531,chumming,8
3532,chump,5
3533,chunam,6
3534,chunk,5
3535,chunky,6
3536,church,6
3537,churched,8
3538,churching,9
3539,churchdom,9
3540,churchgoer,10
3541,churchgoing,11
3542,churchism,9
3543,churchless,10
3544,churchlike,10
3545,churchliness,12
3546,churchly,8
3547,churchmen,9
3548,churchman,9
3549,churchmanly,11
3550,churchmanship,13
3551,churchship,10
3552,churchwarden,12
3553,churchwardenship,16
3554,churchy,7
3555,churchyard,10
3556,churl,5
3557,churlish,8
3558,churlishly,10
3559,churlishness,12
3560,churly,6
3561,churme,6
3562,churn,5
3563,churned,7
3564,churning,8
3565,churrus,7
3566,churrworm,9
3567,chuse,5
3568,chute,5
3569,chutney,7
3570,chutnee,7
3571,chylaceous,10
3572,chylaqueous,11
3573,chyle,5
3574,chylifaction,12
3575,chylifactive,12
3576,chyliferous,11
3577,chylific,8
3578,chylification,13
3579,chylificatory,13
3580,chylify,7
3581,chylopoetic,11
3582,chylous,7
3583,chyluria,8
3584,chyme,5
3585,chymic,6
3586,chymist,7
3587,chymistry,9
3588,chymiferous,11
3589,chymification,13
3590,chymify,7
3591,chymous,7
3592,chyometer,9
3593,cibarious,9
3594,cibation,8
3595,cibol,5
3596,ciboria,7
3597,ciborium,8
3598,cicadas,7
3599,cicadae,7
3600,cicada,6
3601,cicala,6
3602,cicatrice,9
3603,cicatricial,11
3604,cicatricle,10
3605,cicatrisive,11
3606,cicatrices,10
3607,cicatrix,8
3608,cicatrizant,11
3609,cicatrization,13
3610,cicatrized,10
3611,cicatrizing,11
3612,cicatrize,9
3613,cicatrose,9
3614,cicely,6
3615,cicero,6
3616,ciceroni,8
3617,cicerones,9
3618,cicerone,8
3619,ciceronian,10
3620,ciceronianism,13
3621,cichoraceous,12
3622,cicisbeism,10
3623,cicisbei,8
3624,cicisbeo,8
3625,ciclatoun,9
3626,cicurate,8
3627,cicuration,10
3628,cicuta,6
3629,cicutoxin,9
3630,cid,3
3631,cider,5
3632,ciderist,8
3633,ciderkin,8
3634,cierge,6
3635,cigar,5
3636,cigarette,9
3637,cilia,5
3638,ciliary,7
3639,ciliata,7
3640,ciliate,7
3641,ciliated,8
3642,cilice,6
3643,cilician,8
3644,cilicious,9
3645,ciliform,8
3646,ciliiform,9
3647,ciliograde,10
3648,cilium,6
3649,cill,4
3650,cillosis,8
3651,cima,4
3652,cimar,5
3653,cimbal,6
3654,cimbia,6
3655,cimbrian,8
3656,cimbric,7
3657,cimeliarch,10
3658,cimeter,7
3659,cimices,7
3660,cimex,5
3661,cimia,5
3662,cimiss,6
3663,cimmerian,9
3664,cimolite,8
3665,cinch,5
3666,cinchona,8
3667,cinchonaceous,13
3668,cinchonic,9
3669,cinchonidine,12
3670,cinchonine,10
3671,cinchonism,10
3672,cinchonize,10
3673,cincture,8
3674,cinctured,9
3675,cinder,6
3676,cindery,7
3677,cinefaction,11
3678,cinematic,9
3679,cinematical,11
3680,cinematics,10
3681,cineraceous,11
3682,cineraria,9
3683,cinerary,8
3684,cineration,10
3685,cinereous,9
3686,cinerescent,11
3687,cineritious,11
3688,cinerulent,10
3689,cingalese,9
3690,cingle,6
3691,cingulum,8
3692,cinnabar,8
3693,cinnabarine,11
3694,cinnamene,9
3695,cinnamic,8
3696,cinnamomic,10
3697,cinnamon,8
3698,cinnamone,9
3699,cinnamyl,8
3700,cinnoline,9
3701,cinque,6
3702,cinquecento,11
3703,cinquefoil,10
3704,cinter,6
3705,cinura,6
3706,cion,4
3707,cipher,6
3708,ciphered,8
3709,ciphering,9
3710,cipherer,8
3711,cipherhood,10
3712,cipolin,7
3713,cippi,5
3714,cippus,6
3715,circ,4
3716,circar,6
3717,circassian,10
3718,circean,7
3719,circensial,10
3720,circensian,10
3721,circinal,8
3722,circinate,9
3723,circination,11
3724,circle,6
3725,circled,7
3726,circling,8
3727,circler,7
3728,circlet,7
3729,circocele,9
3730,circuit,7
3731,circuiteer,10
3732,circuiter,9
3733,circuition,10
3734,circuitous,10
3735,circuity,8
3736,circulable,10
3737,circular,8
3738,circularity,11
3739,circularly,10
3740,circulary,9
3741,ciorculated,11
3742,circulating,11
3743,circulate,9
3744,circulation,11
3745,circulative,11
3746,circulator,10
3747,circulatorious,14
3748,circulatory,11
3749,circulet,8
3750,circuline,9
3751,circumagitate,13
3752,circumambage,12
3753,circumambiency,14
3754,circumambient,13
3755,circumambulate,14
3756,circumbendibus,14
3757,circumcenter,12
3758,circumcised,11
3759,circumcising,12
3760,circumcise,10
3761,circumciser,11
3762,circumcision,12
3763,circumclusion,13
3764,circumcursation,15
3765,circumdenudation,16
3766,circumduce,10
3767,circumduct,10
3768,circumduction,13
3769,circumesophagal,15
3770,circumesophageal,16
3771,circumfer,9
3772,circumference,13
3773,circumferential,15
3774,circumferentially,17
3775,circumferentor,14
3776,circumflant,11
3777,circumflected,13
3778,circumflecting,14
3779,circumflect,11
3780,circumflection,14
3781,circumflex,10
3782,circumflexed,12
3783,circumflexing,13
3784,circumflexion,13
3785,circumfluence,13
3786,circumfluent,12
3787,circumfluous,12
3788,circumforanean,14
3789,circumforaneous,15
3790,circumfulgent,13
3791,circumfuse,10
3792,circumfusile,12
3793,circumfusion,12
3794,circumgestation,15
3795,circumgyrate,12
3796,circumgyration,14
3797,circumgyratory,14
3798,circumgyre,10
3799,circumincession,15
3800,circumjacence,13
3801,circumjacent,12
3802,circumjovial,12
3803,circumlittoral,14
3804,circumlocution,14
3805,circumlocutional,16
3806,circumlocutory,14
3807,circummeridian,14
3808,circummure,10
3809,circumnavigable,15
3810,circumnavigated,15
3811,circumnavigating,16
3812,circumnavigate,14
3813,circumnavigation,16
3814,circumnavigator,15
3815,circumnutate,12
3816,circumnutation,14
3817,circumpolar,11
3818,circumposition,14
3819,circumrotary,12
3820,circumrotatory,14
3821,circumrotate,12
3822,circumrotation,14
3823,circumscissile,14
3824,circumscribable,15
3825,circumscribed,13
3826,circumscribing,14
3827,circumscribe,12
3828,circumscriber,13
3829,circumscriptible,16
3830,circumscription,15
3831,circumscriptive,15
3832,circumscriptively,17
3833,circumscriptly,14
3834,circumspect,11
3835,circumspection,14
3836,circumspective,14
3837,circumspectively,16
3838,circumspectly,13
3839,circumspectness,15
3840,circumstance,12
3841,circumstanced,13
3842,circumstant,11
3843,circumstantiable,16
3844,circumstantial,14
3845,circumstantiality,17
3846,circumstantially,16
3847,circumstantiated,16
3848,circumstantiating,17
3849,circumstantiate,15
3850,circumterraneous,16
3851,circumundulate,14
3852,circumvallate,13
3853,circumvallation,15
3854,circumvection,13
3855,circumvented,12
3856,circumventing,13
3857,circumvent,10
3858,circumvention,13
3859,circumventive,13
3860,circumventor,12
3861,circumvest,10
3862,circumvolant,12
3863,circumvolation,14
3864,circumvolution,14
3865,circumvolved,12
3866,circumvolving,13
3867,circumvolve,11
3868,circuses,8
3869,circus,6
3870,cirque,6
3871,cirrate,7
3872,cirrhiferous,12
3873,cirrhose,8
3874,cirrhosis,9
3875,cirrhotic,9
3876,cirrhous,8
3877,cirrhus,7
3878,cirri,5
3879,cirriferous,11
3880,cirriform,9
3881,cirrigerous,11
3882,cirrigrade,10
3883,cirriped,8
3884,cirripedia,10
3885,cirrobranchiata,15
3886,cirrose,7
3887,cirrostomi,10
3888,cirrous,7
3889,cirrus,6
3890,cirsocele,9
3891,cirsoid,7
3892,cirsotomy,9
3893,cisalpine,9
3894,cisatlantic,11
3895,cisco,5
3896,ciselure,8
3897,cisleithan,10
3898,cismontane,10
3899,cispadane,9
3900,cissoid,7
3901,cist,4
3902,cisted,6
3903,cistercian,10
3904,cistern,7
3905,cistic,6
3906,cit,3
3907,citable,7
3908,citadel,7
3909,cital,5
3910,citation,8
3911,citator,7
3912,citatory,8
3913,cited,5
3914,citing,6
3915,cite,4
3916,citer,5
3917,citess,6
3918,cithara,7
3919,citharistic,11
3920,cithern,7
3921,citicism,8
3922,citied,6
3923,citified,8
3924,citigradae,10
3925,citigrade,9
3926,citiner,7
3927,citizen,7
3928,citizeness,10
3929,citizenship,11
3930,citole,6
3931,citraconic,10
3932,citrate,7
3933,citric,6
3934,citrination,11
3935,citrine,7
3936,citron,6
3937,citrus,6
3938,cittern,7
3939,cities,6
3940,city,4
3941,cive,4
3942,civet,5
3943,civic,5
3944,civicism,8
3945,civics,6
3946,civil,5
3947,civilian,8
3948,civilist,8
3949,civilities,10
3950,civillty,8
3951,civilizable,11
3952,civilization,12
3953,civilized,9
3954,civilizing,10
3955,civilize,8
3956,civilizer,9
3957,civily,6
3958,civism,6
3959,cizar,5
3960,cizars,6
3961,cize,4
3962,clabber,7
3963,clachan,7
3964,clacked,7
3965,clacking,8
3966,clack,5
3967,clacker,7
3968,clad,4
3969,cladocera,9
3970,cladophyll,10
3971,claggy,6
3972,claik,5
3973,claimed,7
3974,claiming,8
3975,claim,5
3976,claimable,9
3977,claimant,8
3978,claimer,7
3979,claimless,9
3980,clairvoyance,12
3981,clairvoyant,11
3982,clake,5
3983,clam,4
3984,clammed,7
3985,clamming,8
3986,clamant,7
3987,clamation,9
3988,clamatores,10
3989,clamatorial,11
3990,clambake,8
3991,clambered,9
3992,clambering,10
3993,clamber,7
3994,clamjamphrie,12
3995,clammily,8
3996,clamminess,10
3997,clammy,6
3998,clamor,6
3999,clamored,8
4000,clamoring,9
4001,clamorer,8
4002,clamorous,9
4003,clamp,5
4004,clamped,7
4005,clamping,8
4006,clamper,7
4007,clan,4
4008,clancular,9
4009,clancularly,11
4010,clandestine,11
4011,clandestinity,13
4012,clanged,7
4013,clanging,8
4014,clang,5
4015,clangor,7
4016,clangorous,10
4017,clangous,8
4018,clanjamfrie,11
4019,clank,5
4020,clanked,7
4021,clanking,8
4022,clankless,9
4023,clannish,8
4024,clanship,8
4025,clansmen,8
4026,clansman,8
4027,clapped,7
4028,clapping,8
4029,clap,4
4030,clapboard,9
4031,clapbread,9
4032,clapcake,8
4033,clape,5
4034,clapper,7
4035,clapperclaw,11
4036,claps,5
4037,claptrap,8
4038,claque,6
4039,claqueur,8
4040,clare,5
4041,clarence,8
4042,clarenceux,10
4043,clarencieux,11
4044,clarendon,9
4045,claret,6
4046,claribella,10
4047,clarichord,10
4048,clarification,13
4049,clarifier,9
4050,clarified,9
4051,clarifying,10
4052,clarify,7
4053,clarigate,9
4054,clarinet,8
4055,clarino,7
4056,clarion,7
4057,clarionet,9
4058,clarisonus,10
4059,claritude,9
4060,clarity,7
4061,clarre,6
4062,clart,5
4063,clarty,6
4064,clary,5
4065,clashed,7
4066,clashing,8
4067,clash,5
4068,clashingly,10
4069,clasped,7
4070,clasping,8
4071,clasp,5
4072,clasper,7
4073,claspered,9
4074,class,5
4075,classed,7
4076,classing,8
4077,classible,9
4078,classic,7
4079,classical,9
4080,classicalism,12
4081,classicalist,12
4082,classicality,12
4083,classicalness,13
4084,classically,11
4085,classicism,10
4086,classicist,10
4087,classifiable,12
4088,classific,9
4089,classification,14
4090,classificatory,14
4091,classifier,10
4092,classified,10
4093,classifying,11
4094,classify,8
4095,classes,7
4096,classis,7
4097,classmen,8
4098,classman,8
4099,classmate,9
4100,clastic,7
4101,clathrate,9
4102,clattered,9
4103,clattering,10
4104,clatter,7
4105,clatterer,9
4106,clatteringly,12
4107,claudent,8
4108,claudicant,10
4109,claudication,12
4110,clause,6
4111,claustral,9
4112,claustra,8
4113,claustrum,9
4114,clausular,9
4115,clausure,8
4116,clavate,7
4117,clavated,8
4118,clave,5
4119,clavecin,8
4120,clavel,6
4121,clavellate,10
4122,clavellated,11
4123,claver,6
4124,clavichord,10
4125,clavicle,8
4126,clavicorn,9
4127,clavicornes,11
4128,clavicular,10
4129,clavier,7
4130,claviform,9
4131,claviger,8
4132,clavigerous,11
4133,claves,6
4134,clavises,8
4135,clavis,6
4136,clavus,6
4137,clavies,7
4138,clavy,5
4139,claw,4
4140,clawed,6
4141,clawing,7
4142,clawback,8
4143,clawless,8
4144,clay,4
4145,clayed,6
4146,claying,7
4147,clayes,6
4148,clayey,6
4149,clayish,7
4150,claymore,8
4151,claytonia,9
4152,cleading,8
4153,clean,5
4154,cleaned,7
4155,cleaning,8
4156,cleaner,7
4157,cleanlily,9
4158,cleanliness,11
4159,cleanly,7
4160,cleanness,9
4161,cleansable,10
4162,cleansed,8
4163,cleansing,9
4164,cleanse,7
4165,cleanser,8
4166,clear,5
4167,cleared,7
4168,clearing,8
4169,clearage,8
4170,clearance,9
4171,clearedness,11
4172,clearer,7
4173,clearly,7
4174,clearness,9
4175,clearstarched,13
4176,clearstraching,14
4177,clearstarch,11
4178,clearstarcher,13
4179,clearstory,10
4180,clerestory,10
4181,clearwing,9
4182,cleat,5
4183,cleavable,9
4184,cleavage,8
4185,cleaved,7
4186,cleaving,8
4187,cleave,6
4188,cleft,5
4189,clove,5
4190,cloven,6
4191,cleavelandite,13
4192,cleaver,7
4193,cleavers,8
4194,cleche,6
4195,clechy,6
4196,cledge,6
4197,cledgy,6
4198,clee,4
4199,clef,4
4200,cleftgraft,10
4201,cleg,4
4202,cleistogamic,12
4203,cleistogamous,13
4204,clem,4
4205,clematis,8
4206,clemence,8
4207,clemencies,10
4208,clemency,8
4209,clement,7
4210,clementine,10
4211,clench,6
4212,cleped,6
4213,cleping,7
4214,ycleped,7
4215,clepe,5
4216,clepsine,8
4217,clepsydra,9
4218,cleptomania,11
4219,clergeon,8
4220,clergial,8
4221,clergical,9
4222,clergy,6
4223,clergyable,10
4224,clergymen,9
4225,clergyman,9
4226,cleric,6
4227,clerical,8
4228,clericalism,11
4229,clericity,9
4230,clerisy,7
4231,clerk,5
4232,clerkless,9
4233,clerklike,9
4234,clerkliness,11
4235,clerkly,7
4236,clerkship,9
4237,cleromancy,10
4238,cleronomy,9
4239,clerstory,9
4240,clever,6
4241,cleverish,9
4242,cleverly,8
4243,cleverness,10
4244,clevis,6
4245,clew,4
4246,clue,4
4247,clewing,7
4248,cliche,6
4249,clicked,7
4250,clicking,8
4251,click,5
4252,clicker,7
4253,clicket,7
4254,clicky,6
4255,clidastes,9
4256,cliency,7
4257,client,6
4258,clientage,9
4259,cliental,8
4260,cliented,8
4261,clientelage,11
4262,clientele,9
4263,clientship,10
4264,cliff,5
4265,cliffy,6
4266,clift,5
4267,clifted,7
4268,climacter,9
4269,climacteric,11
4270,climacterical,13
4271,climatal,8
4272,climatarchic,12
4273,climate,7
4274,climatic,8
4275,climatical,10
4276,climatized,10
4277,climatizing,11
4278,climatize,9
4279,climatography,13
4280,climatological,14
4281,climatologist,13
4282,climatology,11
4283,climature,9
4284,climax,6
4285,climbed,7
4286,clomb,5
4287,climbing,8
4288,climb,5
4289,climbable,9
4290,climber,7
4291,clime,5
4292,clinanthium,11
4293,clinched,8
4294,clinching,9
4295,clinch,6
4296,clincher,8
4297,clung,5
4298,clong,5
4299,clinging,8
4300,cling,5
4301,clingstone,10
4302,clingy,6
4303,clinic,6
4304,clinical,8
4305,clinically,10
4306,clinique,8
4307,clinium,7
4308,clinked,7
4309,clinking,8
4310,clink,5
4311,clinkant,8
4312,clinker,7
4313,clinkstone,10
4314,clinodiagonal,13
4315,clinodome,9
4316,clinographic,12
4317,clinoid,7
4318,clinometer,10
4319,clinometric,11
4320,clinometry,10
4321,clinopinacoid,13
4322,clinorhombic,12
4323,clinquant,9
4324,clio,4
4325,clione,6
4326,clipped,7
4327,clipping,8
4328,clip,4
4329,clipper,7
4330,clique,6
4331,cliquish,8
4332,cliquism,8
4333,clitellus,9
4334,clitoris,8
4335,clivers,7
4336,clivities,9
4337,clivity,7
4338,cloacae,7
4339,cloaca,6
4340,cloacal,7
4341,cloak,5
4342,cloaked,7
4343,cloaking,8
4344,cloakedly,9
4345,cloakroom,9
4346,clock,5
4347,clocklike,9
4348,clockwork,9
4349,clod,4
4350,cloddish,8
4351,cloddy,6
4352,clodhopper,10
4353,clodhopping,11
4354,clodpate,8
4355,clodpated,9
4356,clodpoll,8
4357,cloff,5
4358,clog,4
4359,clogged,7
4360,clogging,8
4361,clogginess,10
4362,cloggy,6
4363,cloisonne,9
4364,cloister,8
4365,cloistered,10
4366,cloistering,11
4367,cloisteral,10
4368,cloisterer,10
4369,cloistral,9
4370,cloistress,10
4371,cloke,5
4372,clomben,7
4373,clomp,5
4374,clonic,6
4375,cloom,5
4376,cloop,5
4377,closed,6
4378,closing,7
4379,close,5
4380,closefisted,11
4381,closehanded,11
4382,closehauled,11
4383,closely,7
4384,closemouthed,12
4385,closen,6
4386,closeness,9
4387,closer,6
4388,closereefed,11
4389,closet,6
4390,closeting,9
4391,closh,5
4392,closure,7
4393,clot,4
4394,clotted,7
4395,clotting,8
4396,clotbur,7
4397,clote,5
4398,cloths,6
4399,clothes,7
4400,cloth,5
4401,clothed,7
4402,clothing,8
4403,clothe,6
4404,clotheshorse,12
4405,clothesline,11
4406,clothespin,10
4407,clothespress,12
4408,clothier,8
4409,clothred,8
4410,clotpoll,8
4411,clotter,7
4412,clotty,6
4413,cloture,7
4414,clotweed,8
4415,cloud,5
4416,clouded,7
4417,clouding,8
4418,cloudage,8
4419,cloudberry,10
4420,cloudily,8
4421,cloudiness,10
4422,cloudland,9
4423,cloudless,9
4424,cloudlet,8
4425,cloudy,6
4426,clough,6
4427,clout,5
4428,clouted,7
4429,clouting,8
4430,clouterly,9
4431,clover,6
4432,clovered,8
4433,clown,5
4434,clownage,8
4435,clownery,8
4436,clownish,8
4437,clownishness,12
4438,cloyed,6
4439,cloying,7
4440,cloy,4
4441,cloyless,8
4442,cloyment,8
4443,club,4
4444,clubbed,7
4445,clubbing,8
4446,clubbable,9
4447,clubber,7
4448,clubbish,8
4449,clubbist,8
4450,clubfist,8
4451,clubfisted,10
4452,clubfoot,8
4453,clubfooted,10
